source_family,dataset_code,area_code,area_label,item_code,item_label,element_code,element_label,series_code,metadata_url,pilot_observation_url,evidence_kind,intended_use,notes
DBnomics FAO/QCL,QCL,21,Brazil,867,"Meat of cattle with the bone, fresh or chilled",5320,Producing Animals/Slaughtered,21.867.5320,https://api.db.nomics.world/v22/series/FAO/QCL/21.867.5320?observations=false&metadata=true,https://api.db.nomics.world/v22/series/FAO/QCL/21.867.5320?observations=true&metadata=true,direct_context,land-animal slaughter context,Primary meat whitelist candidate; no final use until legal/method review.
DBnomics FAO/QCL,QCL,21,Brazil,947,"Meat of buffalo, fresh or chilled",5320,Producing Animals/Slaughtered,21.947.5320,https://api.db.nomics.world/v22/series/FAO/QCL/21.947.5320?observations=false&metadata=true,https://api.db.nomics.world/v22/series/FAO/QCL/21.947.5320?observations=true&metadata=true,direct_context,land-animal slaughter context,Primary meat whitelist candidate; no final use until legal/method review.
DBnomics FAO/QCL,QCL,21,Brazil,977,"Meat of sheep, fresh or chilled",5320,Producing Animals/Slaughtered,21.977.5320,https://api.db.nomics.world/v22/series/FAO/QCL/21.977.5320?observations=false&metadata=true,https://api.db.nomics.world/v22/series/FAO/QCL/21.977.5320?observations=true&metadata=true,direct_context,land-animal slaughter context,Primary meat whitelist candidate; no final use until legal/method review.
DBnomics FAO/QCL,QCL,21,Brazil,1017,"Meat of goat, fresh or chilled",5320,Producing Animals/Slaughtered,21.1017.5320,https://api.db.nomics.world/v22/series/FAO/QCL/21.1017.5320?observations=false&metadata=true,https://api.db.nomics.world/v22/series/FAO/QCL/21.1017.5320?observations=true&metadata=true,direct_context,land-animal slaughter context,Primary meat whitelist candidate; no final use until legal/method review.
DBnomics FAO/QCL,QCL,21,Brazil,1035,"Meat of pig with the bone, fresh or chilled",5320,Producing Animals/Slaughtered,21.1035.5320,https://api.db.nomics.world/v22/series/FAO/QCL/21.1035.5320?observations=false&metadata=true,https://api.db.nomics.world/v22/series/FAO/QCL/21.1035.5320?observations=true&metadata=true,direct_context,land-animal slaughter context,Primary meat whitelist candidate; no final use until legal/method review.
DBnomics FAO/QCL,QCL,21,Brazil,1058,"Meat of chickens, fresh or chilled",5320,Producing Animals/Slaughtered,21.1058.5320,https://api.db.nomics.world/v22/series/FAO/QCL/21.1058.5320?observations=false&metadata=true,https://api.db.nomics.world/v22/series/FAO/QCL/21.1058.5320?observations=true&metadata=true,direct_context,land-animal slaughter context,Primary meat whitelist candidate; no final use until legal/method review.
DBnomics FAO/QCL,QCL,21,Brazil,1069,"Meat of ducks, fresh or chilled",5320,Producing Animals/Slaughtered,21.1069.5320,https://api.db.nomics.world/v22/series/FAO/QCL/21.1069.5320?observations=false&metadata=true,https://api.db.nomics.world/v22/series/FAO/QCL/21.1069.5320?observations=true&metadata=true,direct_context,land-animal slaughter context,Primary meat whitelist candidate; no final use until legal/method review.
DBnomics FAO/QCL,QCL,21,Brazil,1073,"Meat of geese, fresh or chilled",5320,Producing Animals/Slaughtered,21.1073.5320,https://api.db.nomics.world/v22/series/FAO/QCL/21.1073.5320?observations=false&metadata=true,https://api.db.nomics.world/v22/series/FAO/QCL/21.1073.5320?observations=true&metadata=true,direct_context,land-animal slaughter context,Primary meat whitelist candidate; no final use until legal/method review.
DBnomics FAO/QCL,QCL,21,Brazil,1080,"Meat of turkeys, fresh or chilled",5320,Producing Animals/Slaughtered,21.1080.5320,https://api.db.nomics.world/v22/series/FAO/QCL/21.1080.5320?observations=false&metadata=true,https://api.db.nomics.world/v22/series/FAO/QCL/21.1080.5320?observations=true&metadata=true,direct_context,land-animal slaughter context,Primary meat whitelist candidate; no final use until legal/method review.
DBnomics FAO/QCL,QCL,21,Brazil,1097,"Horse meat, fresh or chilled",5320,Producing Animals/Slaughtered,21.1097.5320,https://api.db.nomics.world/v22/series/FAO/QCL/21.1097.5320?observations=false&metadata=true,https://api.db.nomics.world/v22/series/FAO/QCL/21.1097.5320?observations=true&metadata=true,direct_context,land-animal slaughter context,Primary meat whitelist candidate; no final use until legal/method review.
DBnomics FAO/QCL,QCL,21,Brazil,1108,"Meat of asses, fresh or chilled",5320,Producing Animals/Slaughtered,21.1108.5320,https://api.db.nomics.world/v22/series/FAO/QCL/21.1108.5320?observations=false&metadata=true,https://api.db.nomics.world/v22/series/FAO/QCL/21.1108.5320?observations=true&metadata=true,direct_context,land-animal slaughter context,Primary meat whitelist candidate; no final use until legal/method review.
DBnomics FAO/QCL,QCL,21,Brazil,1111,"Meat of mules, fresh or chilled",5320,Producing Animals/Slaughtered,21.1111.5320,https://api.db.nomics.world/v22/series/FAO/QCL/21.1111.5320?observations=false&metadata=true,https://api.db.nomics.world/v22/series/FAO/QCL/21.1111.5320?observations=true&metadata=true,direct_context,land-animal slaughter context,Primary meat whitelist candidate; no final use until legal/method review.
DBnomics FAO/QCL,QCL,21,Brazil,1127,"Meat of camels, fresh or chilled",5320,Producing Animals/Slaughtered,21.1127.5320,https://api.db.nomics.world/v22/series/FAO/QCL/21.1127.5320?observations=false&metadata=true,https://api.db.nomics.world/v22/series/FAO/QCL/21.1127.5320?observations=true&metadata=true,direct_context,land-animal slaughter context,Primary meat whitelist candidate; no final use until legal/method review.
DBnomics FAO/QCL,QCL,21,Brazil,1141,"Meat of rabbits and hares, fresh or chilled",5320,Producing Animals/Slaughtered,21.1141.5320,https://api.db.nomics.world/v22/series/FAO/QCL/21.1141.5320?observations=false&metadata=true,https://api.db.nomics.world/v22/series/FAO/QCL/21.1141.5320?observations=true&metadata=true,direct_context,land-animal slaughter context,Primary meat whitelist candidate; no final use until legal/method review.
DBnomics FAO/RP,RP,21,Brazil,1309,Insecticides,5157,Agricultural Use,21.1309.5157,https://api.db.nomics.world/v22/series/FAO/RP/21.1309.5157?observations=false&metadata=true,https://api.db.nomics.world/v22/series/FAO/RP/21.1309.5157?observations=true&metadata=true,proxy_context,insecticide pressure proxy,Proxy context only; not direct insect suffering.
