diagnostic_row_id,series_code,variant_name,url,http_status,content_type,content_length_header,byte_size,sha256,local_snapshot_path,json_parse_status,top_level_keys,meta_args_observations,meta_args_metadata,series_docs_count,series_doc_0_keys,has_values_key_anywhere,has_period_key_anywhere,has_periods_key_anywhere,has_observations_key_anywhere,has_value_key_anywhere,candidate_observation_path,observation_shape_status,allowed_use_scope,error
dbnomics-shape-01-01,21.867.5320,no_query,https://api.db.nomics.world/v22/series/FAO/QCL/21.867.5320,200,application/json,16006,16006,75edc4d8fdaf8831d3f0eff2dde93b73568489cc7e90bb823a210ac022bee8ba,diagnostic-snapshots/dbnomics-observation-shapes/21-867-5320.no_query.json_or_error,parsed,_meta|dataset|errors|provider|series,False,True,1,dataset_code|dataset_name|dimensions|indexed_at|provider_code|series_code|series_name,false,false,false,true,false,,no_candidate_observation_path_found,candidate-only response-shape diagnostics; no production parsing; no country promotion,
dbnomics-shape-01-02,21.867.5320,observations_1,https://api.db.nomics.world/v22/series/FAO/QCL/21.867.5320?observations=1,200,application/json,16122,16122,ea4125b4d2b5fc682fa4f8a3ec7cd6622154195890231f99a45ed689eccfa1c4,diagnostic-snapshots/dbnomics-observation-shapes/21-867-5320.observations_1.json_or_error,parsed,_meta|dataset|errors|provider|series,True,True,1,dataset_code|dataset_name|dimensions|indexed_at|provider_code|series_code|series_name,false,false,false,true,false,,no_candidate_observation_path_found,candidate-only response-shape diagnostics; no production parsing; no country promotion,
dbnomics-shape-01-03,21.867.5320,observations_1_metadata_true,https://api.db.nomics.world/v22/series/FAO/QCL/21.867.5320?observations=1&metadata=true,200,application/json,16122,16122,ea4125b4d2b5fc682fa4f8a3ec7cd6622154195890231f99a45ed689eccfa1c4,diagnostic-snapshots/dbnomics-observation-shapes/21-867-5320.observations_1_metadata_true.json_or_error,parsed,_meta|dataset|errors|provider|series,True,True,1,dataset_code|dataset_name|dimensions|indexed_at|provider_code|series_code|series_name,false,false,false,true,false,,no_candidate_observation_path_found,candidate-only response-shape diagnostics; no production parsing; no country promotion,
dbnomics-shape-01-04,21.867.5320,observations_1_metadata_false,https://api.db.nomics.world/v22/series/FAO/QCL/21.867.5320?observations=1&metadata=false,200,application/json,787,787,cf34059d9aa6b63408a1938ca5e489d25fe183d816efa8c75ec8108da261ef88,diagnostic-snapshots/dbnomics-observation-shapes/21-867-5320.observations_1_metadata_false.json_or_error,parsed,_meta|errors|series,True,False,1,dataset_code|dataset_name|dimensions|indexed_at|provider_code|series_code|series_name,false,false,false,true,false,,no_candidate_observation_path_found,candidate-only response-shape diagnostics; no production parsing; no country promotion,
dbnomics-shape-01-05,21.867.5320,observations_true,https://api.db.nomics.world/v22/series/FAO/QCL/21.867.5320?observations=true,200,application/json,16122,16122,ea4125b4d2b5fc682fa4f8a3ec7cd6622154195890231f99a45ed689eccfa1c4,diagnostic-snapshots/dbnomics-observation-shapes/21-867-5320.observations_true.json_or_error,parsed,_meta|dataset|errors|provider|series,True,True,1,dataset_code|dataset_name|dimensions|indexed_at|provider_code|series_code|series_name,false,false,false,true,false,,no_candidate_observation_path_found,candidate-only response-shape diagnostics; no production parsing; no country promotion,
dbnomics-shape-01-06,21.867.5320,observations_1_align_periods_1,https://api.db.nomics.world/v22/series/FAO/QCL/21.867.5320?observations=1&align_periods=1,200,application/json,16121,16121,387cd54d87f01e1bac2f4ade854fe8014cff4543b847ffed716f3d1fdf223bfe,diagnostic-snapshots/dbnomics-observation-shapes/21-867-5320.observations_1_align_periods_1.json_or_error,parsed,_meta|dataset|errors|provider|series,True,True,1,dataset_code|dataset_name|dimensions|indexed_at|provider_code|series_code|series_name,false,false,false,true,false,,no_candidate_observation_path_found,candidate-only response-shape diagnostics; no production parsing; no country promotion,
dbnomics-shape-01-07,21.867.5320,format_json_observations_1,https://api.db.nomics.world/v22/series/FAO/QCL/21.867.5320?format=json&observations=1,200,application/json,16122,16122,ea4125b4d2b5fc682fa4f8a3ec7cd6622154195890231f99a45ed689eccfa1c4,diagnostic-snapshots/dbnomics-observation-shapes/21-867-5320.format_json_observations_1.json_or_error,parsed,_meta|dataset|errors|provider|series,True,True,1,dataset_code|dataset_name|dimensions|indexed_at|provider_code|series_code|series_name,false,false,false,true,false,,no_candidate_observation_path_found,candidate-only response-shape diagnostics; no production parsing; no country promotion,
dbnomics-shape-02-01,21.977.5320,no_query,https://api.db.nomics.world/v22/series/FAO/QCL/21.977.5320,200,application/json,15991,15991,80fb258471d1c2160724b4af1e0258c35ccc4822559b301216871a6c2a97d883,diagnostic-snapshots/dbnomics-observation-shapes/21-977-5320.no_query.json_or_error,parsed,_meta|dataset|errors|provider|series,False,True,1,dataset_code|dataset_name|dimensions|indexed_at|provider_code|series_code|series_name,false,false,false,true,false,,no_candidate_observation_path_found,candidate-only response-shape diagnostics; no production parsing; no country promotion,
dbnomics-shape-02-02,21.977.5320,observations_1,https://api.db.nomics.world/v22/series/FAO/QCL/21.977.5320?observations=1,200,application/json,16107,16107,b44f2b387b5cf8118358b76d3d2aa5abd853f32dc51428fe2cbbdf220179666e,diagnostic-snapshots/dbnomics-observation-shapes/21-977-5320.observations_1.json_or_error,parsed,_meta|dataset|errors|provider|series,True,True,1,dataset_code|dataset_name|dimensions|indexed_at|provider_code|series_code|series_name,false,false,false,true,false,,no_candidate_observation_path_found,candidate-only response-shape diagnostics; no production parsing; no country promotion,
dbnomics-shape-02-03,21.977.5320,observations_1_metadata_true,https://api.db.nomics.world/v22/series/FAO/QCL/21.977.5320?observations=1&metadata=true,200,application/json,16107,16107,b44f2b387b5cf8118358b76d3d2aa5abd853f32dc51428fe2cbbdf220179666e,diagnostic-snapshots/dbnomics-observation-shapes/21-977-5320.observations_1_metadata_true.json_or_error,parsed,_meta|dataset|errors|provider|series,True,True,1,dataset_code|dataset_name|dimensions|indexed_at|provider_code|series_code|series_name,false,false,false,true,false,,no_candidate_observation_path_found,candidate-only response-shape diagnostics; no production parsing; no country promotion,
dbnomics-shape-02-04,21.977.5320,observations_1_metadata_false,https://api.db.nomics.world/v22/series/FAO/QCL/21.977.5320?observations=1&metadata=false,200,application/json,772,772,f1b5409018779e7abbbbe8f5a0b046d8d8011d5981bc465f8028090bcde50ddc,diagnostic-snapshots/dbnomics-observation-shapes/21-977-5320.observations_1_metadata_false.json_or_error,parsed,_meta|errors|series,True,False,1,dataset_code|dataset_name|dimensions|indexed_at|provider_code|series_code|series_name,false,false,false,true,false,,no_candidate_observation_path_found,candidate-only response-shape diagnostics; no production parsing; no country promotion,
