candidate_id,seed_url,resolved_url,http_status,content_type,byte_size,sha256,is_official_fao_domain,resource_type,contains_qcl,contains_rp,contains_download,contains_api,contains_bulk,contains_fenix,candidate_endpoint_or_reference,candidate_endpoint_type,candidate_supports_qcl,candidate_supports_rp,candidate_supports_metadata_only,candidate_supports_data_download,recommended_status,recommended_next_action,error
seed-001,https://www.fao.org/contact-us/terms/db-terms-of-use/en/,https://www.fao.org/contact-us/terms/db-terms-of-use/en/,200,text/html; charset=utf-8,46146,89e3c603ef944d4f89a4f2ec9bdcb712dda99a7d86284496f8aacd9fdd1fe15b,true,html,false,true,true,false,false,false,,fetched_seed_resource,false,true,true,false,official_page_only,Official HTML/app page inspected; use only for endpoint discovery.,
ref-002,https://www.fao.org/contact-us/terms/db-terms-of-use/en/,http://www.fao.org/about/en/,reference_only,,0,,true,html,false,false,false,false,false,false,http://www.fao.org/about/en/,reference,false,false,false,false,manual_review_required,Official FAO reference found but relevance is unclear; review manually.,
ref-003,https://www.fao.org/contact-us/terms/db-terms-of-use/en/,http://www.fao.org/countryprofiles/en/,reference_only,,0,,true,html,false,false,false,false,false,false,http://www.fao.org/countryprofiles/en/,reference,false,false,false,false,manual_review_required,Official FAO reference found but relevance is unclear; review manually.,
ref-004,https://www.fao.org/contact-us/terms/db-terms-of-use/en/,http://www.fao.org/in-action/en/,reference_only,,0,,true,html,false,false,false,false,false,false,http://www.fao.org/in-action/en/,reference,false,false,false,false,manual_review_required,Official FAO reference found but relevance is unclear; review manually.,
ref-005,https://www.fao.org/contact-us/terms/db-terms-of-use/en/,http://www.fao.org/news/en/,reference_only,,0,,true,html,false,false,false,false,false,false,http://www.fao.org/news/en/,reference,false,false,false,false,manual_review_required,Official FAO reference found but relevance is unclear; review manually.,
ref-006,https://www.fao.org/contact-us/terms/db-terms-of-use/en/,http://www.fao.org/partnerships/en/,reference_only,,0,,true,html,false,false,false,false,false,false,http://www.fao.org/partnerships/en/,reference,false,false,false,false,manual_review_required,Official FAO reference found but relevance is unclear; review manually.,
ref-007,https://www.fao.org/contact-us/terms/db-terms-of-use/en/,http://www.fao.org/statistics/en/,reference_only,,0,,true,html,false,false,false,false,false,false,http://www.fao.org/statistics/en/,reference,false,false,false,false,manual_review_required,Official FAO reference found but relevance is unclear; review manually.,
ref-008,https://www.fao.org/contact-us/terms/db-terms-of-use/en/,http://www.fao.org/themes/en/,reference_only,,0,,true,html,false,false,false,false,false,false,http://www.fao.org/themes/en/,reference,false,false,false,false,manual_review_required,Official FAO reference found but relevance is unclear; review manually.,
ref-009,https://www.fao.org/contact-us/terms/db-terms-of-use/en/,https://data-in-emergencies.fao.org/,reference_only,,0,,true,html,false,false,false,false,false,false,https://data-in-emergencies.fao.org/,reference,false,false,false,false,manual_review_required,Official FAO reference found but relevance is unclear; review manually.,
ref-010,https://www.fao.org/contact-us/terms/db-terms-of-use/en/,https://data.apps.fao.org/wapor/?lang=en,reference_only,,0,,true,other,false,false,false,false,false,false,https://data.apps.fao.org/wapor/?lang=en,reference,false,false,false,false,manual_review_required,Official FAO reference found but relevance is unclear; review manually.,
ref-011,https://www.fao.org/contact-us/terms/db-terms-of-use/en/,https://dataexplorer.fao.org/,reference_only,,0,,true,html,false,false,false,false,false,false,https://dataexplorer.fao.org/,page_or_app_reference,false,false,true,false,official_metadata_endpoint_candidate,Candidate official FAO metadata/API/app reference; report to ChatGPT before fetching further.,
ref-012,https://www.fao.org/contact-us/terms/db-terms-of-use/en/,https://empres-i.apps.fao.org/,reference_only,,0,,true,html,false,false,false,false,false,false,https://empres-i.apps.fao.org/,reference,false,false,false,false,manual_review_required,Official FAO reference found but relevance is unclear; review manually.,
ref-013,https://www.fao.org/contact-us/terms/db-terms-of-use/en/,https://fao.org/contact-us/data-protection-and-privacy/en/,reference_only,,0,,true,html,false,false,false,false,false,false,https://fao.org/contact-us/data-protection-and-privacy/en/,reference,false,false,false,false,manual_review_required,Official FAO reference found but relevance is unclear; review manually.,
ref-014,https://www.fao.org/contact-us/terms/db-terms-of-use/en/,https://fao.org/contact-us/en/,reference_only,,0,,true,html,false,false,false,false,false,false,https://fao.org/contact-us/en/,reference,false,false,false,false,manual_review_required,Official FAO reference found but relevance is unclear; review manually.,
ref-015,https://www.fao.org/contact-us/terms/db-terms-of-use/en/,https://fao.org/contact-us/scam-alert/en/,reference_only,,0,,true,html,false,false,false,false,false,false,https://fao.org/contact-us/scam-alert/en/,reference,false,false,false,false,manual_review_required,Official FAO reference found but relevance is unclear; review manually.,
