iso3,display_name,place_id_candidate,current_status,candidate_status,promote_to_canonical,blocking_reasons,next_action
ABW,Aruba,country:ABW,unknown_until_hidden_release_artifacts_fetchable,not_promoted,False,"[""PainMap hidden coverage artifacts not fetched"", ""source snapshots not captured"", ""licenses not fully verified"", ""numeric values not fetched/QAed""]","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary."
AFG,Afghanistan,country:AFG,unknown_until_hidden_release_artifacts_fetchable,not_promoted,False,"[""PainMap hidden coverage artifacts not fetched"", ""source snapshots not captured"", ""licenses not fully verified"", ""numeric values not fetched/QAed""]","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary."
AGO,Angola,country:AGO,unknown_until_hidden_release_artifacts_fetchable,not_promoted,False,"[""PainMap hidden coverage artifacts not fetched"", ""source snapshots not captured"", ""licenses not fully verified"", ""numeric values not fetched/QAed""]","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary."
AIA,Anguilla,country:AIA,unknown_until_hidden_release_artifacts_fetchable,not_promoted,False,"[""PainMap hidden coverage artifacts not fetched"", ""source snapshots not captured"", ""licenses not fully verified"", ""numeric values not fetched/QAed""]","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary."
ALA,Åland Islands,country:ALA,unknown_until_hidden_release_artifacts_fetchable,not_promoted,False,"[""PainMap hidden coverage artifacts not fetched"", ""source snapshots not captured"", ""licenses not fully verified"", ""numeric values not fetched/QAed""]","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary."
ALB,Albania,country:ALB,unknown_until_hidden_release_artifacts_fetchable,not_promoted,False,"[""PainMap hidden coverage artifacts not fetched"", ""source snapshots not captured"", ""licenses not fully verified"", ""numeric values not fetched/QAed""]","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary."
AND,Andorra,country:AND,unknown_until_hidden_release_artifacts_fetchable,not_promoted,False,"[""PainMap hidden coverage artifacts not fetched"", ""source snapshots not captured"", ""licenses not fully verified"", ""numeric values not fetched/QAed""]","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary."
ARE,United Arab Emirates,country:ARE,unknown_until_hidden_release_artifacts_fetchable,not_promoted,False,"[""PainMap hidden coverage artifacts not fetched"", ""source snapshots not captured"", ""licenses not fully verified"", ""numeric values not fetched/QAed""]","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary."
ARG,Argentina,country:ARG,unknown_until_hidden_release_artifacts_fetchable,not_promoted,False,"[""PainMap hidden coverage artifacts not fetched"", ""source snapshots not captured"", ""licenses not fully verified"", ""numeric values not fetched/QAed""]","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary."
ARM,Armenia,country:ARM,unknown_until_hidden_release_artifacts_fetchable,not_promoted,False,"[""PainMap hidden coverage artifacts not fetched"", ""source snapshots not captured"", ""licenses not fully verified"", ""numeric values not fetched/QAed""]","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary."
