source_id,label,publisher,evidence_kind,upstream_url,source_vintage,license_id,attribution,review_cadence,last_review_date,next_review_due,redistribution_note,notes
painmap-live-homepage,PainMap live homepage,PainMap,site_current_state,https://painmap.org/,2026-07-04 browse,painmap-site-terms-unknown,PainMap homepage,per_release,2026-07-04,2026-08-04,Use as site-observation evidence only; do not republish site text as data rows.,Homepage confirms animal-pain research as primary and country globe as secondary context.
world-bank-wdi-api,World Bank Indicators API / WDI,World Bank Group,authoritative_international_dataset,https://api.worldbank.org/v2/country/all/indicator/{indicator},latest available per indicator,world-bank-terms,"World Bank Group, World Development Indicators / Indicators API",monthly,2026-07-04,2026-08-04,Verify World Bank data terms before redistributing compiled values; API access requires no key per documentation.,"Use for population, land area, agricultural land, poverty/socioeconomic proxies, and related WDI indicators."
owid-land-animals-slaughtered,OWID land animals slaughtered for meat,Our World in Data / source providers,derived_structured_dataset,https://ourworldindata.org/grapher/land-animals-slaughtered-for-meat,fetch via OWID metadata at build time,owid-cc-by-third-party-terms,Our World in Data; cite original data provider as specified in metadata,quarterly,2026-07-04,2026-10-04,OWID-authored work is CC BY; underlying third-party data may have additional terms. Verify metadata before release.,Use for factory-farmed land animal country proxy where country rows exist.
owid-farmed-fish-killed,OWID number of farmed fishes killed for food,Our World in Data / source providers,derived_structured_dataset,https://ourworldindata.org/grapher/farmed-fish-killed,fetch via OWID metadata at build time,owid-cc-by-third-party-terms,Our World in Data; cite original data provider as specified in metadata,quarterly,2026-07-04,2026-10-04,OWID-authored work is CC BY; underlying third-party data may have additional terms. Verify metadata before release.,Use for farmed fish country proxy where country rows exist.
owid-wild-caught-fish,OWID number of fishes caught from the wild,Our World in Data / source providers,derived_structured_dataset,https://ourworldindata.org/grapher/wild-caught-fish,fetch via OWID metadata at build time,owid-cc-by-third-party-terms,Our World in Data; cite original data provider as specified in metadata,quarterly,2026-07-04,2026-10-04,OWID-authored work is CC BY; underlying third-party data may have additional terms. Verify metadata before release.,Use for wild-caught fish country proxy where country rows exist.
owid-farmed-crustaceans,OWID number of farmed crustaceans killed for food,Our World in Data / source providers,derived_structured_dataset,https://ourworldindata.org/grapher/farmed-crustaceans,fetch via OWID metadata at build time,owid-cc-by-third-party-terms,Our World in Data; cite original data provider as specified in metadata,quarterly,2026-07-04,2026-10-04,OWID-authored work is CC BY; underlying third-party data may have additional terms. Verify metadata before release.,Use for farmed crustacean country proxy where country rows exist.
owid-insecticide-use,OWID insecticide use,FAO via Our World in Data,derived_structured_dataset,https://ourworldindata.org/grapher/insecticide-use.csv?v=1&csvType=full&useColumnShortNames=false,1990-2023 per inspected OWID page,owid-cc-by-third-party-terms,Food and Agriculture Organization of the United Nations (2025) – with major processing by Our World in Data,annual,2026-07-04,2027-02-25,"OWID page says OWID-authored work is CC BY, while third-party data are subject to provider terms; verify before release.",Use as insect-pressure country proxy; units tonnes; OWID page date range 1990–2023.
fishcount-farmed-fish-country,Fishcount farmed fish country estimates,Fishcount,derived_estimate,https://fishcount.org.uk/fish-count-estimates-2/numbers-of-farmed-fish-slaughtered-each-year,2022 estimates visible on page,fishcount-permission-needed,Fishcount.org.uk,annual,2026-07-04,2027-07-04,Fishcount page shows site copyright; do not redistribute values until permission or terms are confirmed.,Use only as referenced-source lineage or after license review.
fishcount-farmed-decapod-country,Fishcount farmed decapod crustacean country estimates,Fishcount,derived_estimate,https://fishcount.org.uk/fish-count-estimates-2/numbers-of-farmed-decapod-crustaceans,2022 estimates visible on page,fishcount-permission-needed,Fishcount.org.uk,annual,2026-07-04,2027-07-04,Fishcount page shows site copyright; do not redistribute values until permission or terms are confirmed.,Use only after license review; page cites FAO FishstatJ production tonnages and country details links.
rethink-priorities-welfare-ranges,Rethink Priorities Welfare Range Estimates,Rethink Priorities,global_assumption_source,https://rethinkpriorities.org/research-area/welfare-range-estimates/,2023-01-23 post,rp-use-terms-needed,Rethink Priorities Welfare Range Estimates,per_release,2026-07-04,2026-10-04,Use as cited assumption source; verify terms before redistributing tables or derived assumption snapshots.,Source for welfare-range and sentience caveats; not country-specific data.
wild-animal-initiative-insect-welfare-proxy,Wild Animal Initiative wild insect welfare context,Wild Animal Initiative,global_assumption_source,https://www.wildanimalinitiative.org/,review at build time,wai-use-terms-needed,Wild Animal Initiative,per_release,2026-07-04,2026-10-04,Use as cited assumption/proxy context; verify terms before copying detailed text or data.,Use for insect welfare proxy framing; not a country data source by itself.
natural-earth-admin0,Natural Earth Admin 0 countries,Natural Earth,boundary,https://www.naturalearthdata.com/,fetch at build time,natural-earth-public-domain,Natural Earth,per_release,2026-07-04,2026-10-04,"Use for boundaries only, not suffering estimates.",Live homepage cites Natural Earth Admin 0 for country boundaries.
geoboundaries-adm1,geoBoundaries ADM1,geoBoundaries,boundary,https://www.geoboundaries.org/,fetch at build time,geoboundaries-license-check,geoBoundaries,per_release,2026-07-04,2026-10-04,Use for ADM1 boundaries only; verify per-release license/attribution.,Live homepage cites geoBoundaries for ADM1.
