iso3,iso2,display_name,official_name,release_id,place_id_candidate,current_coverage_status,current_visible_country_fields_layers,missing_required_inputs,proposed_promotion_status_after_research,reason_if_still_not_promotable,live_site_basis
ABW,AW,Aruba,,release-candidate-2026-07-07.country-context.v0,country:ABW,missing_canonical_country_profile_or_only_boundary_context,country boundary/context only or not individually verified; live site states only Brazil and India have canonical country profiles,source snapshots; license verification; source vintage; reference period; method transform; comparability metadata; QA; release artifact regeneration,blocked_pending_source_snapshots_license_method_QA,"no verified source snapshots, licenses, methods, reference periods, or QA in this session; do not publish fabricated values","homepage says 2 canonical country profiles, Brazil and India, with 239 country boundary entries and 0 direct place-evidence rows"
AFG,AF,Afghanistan,Islamic Republic of Afghanistan,release-candidate-2026-07-07.country-context.v0,country:AFG,missing_canonical_country_profile_or_only_boundary_context,country boundary/context only or not individually verified; live site states only Brazil and India have canonical country profiles,source snapshots; license verification; source vintage; reference period; method transform; comparability metadata; QA; release artifact regeneration,blocked_pending_source_snapshots_license_method_QA,"no verified source snapshots, licenses, methods, reference periods, or QA in this session; do not publish fabricated values","homepage says 2 canonical country profiles, Brazil and India, with 239 country boundary entries and 0 direct place-evidence rows"
AGO,AO,Angola,Republic of Angola,release-candidate-2026-07-07.country-context.v0,country:AGO,missing_canonical_country_profile_or_only_boundary_context,country boundary/context only or not individually verified; live site states only Brazil and India have canonical country profiles,source snapshots; license verification; source vintage; reference period; method transform; comparability metadata; QA; release artifact regeneration,blocked_pending_source_snapshots_license_method_QA,"no verified source snapshots, licenses, methods, reference periods, or QA in this session; do not publish fabricated values","homepage says 2 canonical country profiles, Brazil and India, with 239 country boundary entries and 0 direct place-evidence rows"
AIA,AI,Anguilla,,release-candidate-2026-07-07.country-context.v0,country:AIA,missing_canonical_country_profile_or_only_boundary_context,country boundary/context only or not individually verified; live site states only Brazil and India have canonical country profiles,source snapshots; license verification; source vintage; reference period; method transform; comparability metadata; QA; release artifact regeneration,blocked_pending_source_snapshots_license_method_QA,"no verified source snapshots, licenses, methods, reference periods, or QA in this session; do not publish fabricated values","homepage says 2 canonical country profiles, Brazil and India, with 239 country boundary entries and 0 direct place-evidence rows"
ALA,AX,Åland Islands,,release-candidate-2026-07-07.country-context.v0,country:ALA,missing_canonical_country_profile_or_only_boundary_context,country boundary/context only or not individually verified; live site states only Brazil and India have canonical country profiles,source snapshots; license verification; source vintage; reference period; method transform; comparability metadata; QA; release artifact regeneration,blocked_pending_source_snapshots_license_method_QA,"no verified source snapshots, licenses, methods, reference periods, or QA in this session; do not publish fabricated values","homepage says 2 canonical country profiles, Brazil and India, with 239 country boundary entries and 0 direct place-evidence rows"
ALB,AL,Albania,Republic of Albania,release-candidate-2026-07-07.country-context.v0,country:ALB,missing_canonical_country_profile_or_only_boundary_context,country boundary/context only or not individually verified; live site states only Brazil and India have canonical country profiles,source snapshots; license verification; source vintage; reference period; method transform; comparability metadata; QA; release artifact regeneration,blocked_pending_source_snapshots_license_method_QA,"no verified source snapshots, licenses, methods, reference periods, or QA in this session; do not publish fabricated values","homepage says 2 canonical country profiles, Brazil and India, with 239 country boundary entries and 0 direct place-evidence rows"
AND,AD,Andorra,Principality of Andorra,release-candidate-2026-07-07.country-context.v0,country:AND,missing_canonical_country_profile_or_only_boundary_context,country boundary/context only or not individually verified; live site states only Brazil and India have canonical country profiles,source snapshots; license verification; source vintage; reference period; method transform; comparability metadata; QA; release artifact regeneration,blocked_pending_source_snapshots_license_method_QA,"no verified source snapshots, licenses, methods, reference periods, or QA in this session; do not publish fabricated values","homepage says 2 canonical country profiles, Brazil and India, with 239 country boundary entries and 0 direct place-evidence rows"
ARE,AE,United Arab Emirates,,release-candidate-2026-07-07.country-context.v0,country:ARE,missing_canonical_country_profile_or_only_boundary_context,country boundary/context only or not individually verified; live site states only Brazil and India have canonical country profiles,source snapshots; license verification; source vintage; reference period; method transform; comparability metadata; QA; release artifact regeneration,blocked_pending_source_snapshots_license_method_QA,"no verified source snapshots, licenses, methods, reference periods, or QA in this session; do not publish fabricated values","homepage says 2 canonical country profiles, Brazil and India, with 239 country boundary entries and 0 direct place-evidence rows"
ARG,AR,Argentina,Argentine Republic,release-candidate-2026-07-07.country-context.v0,country:ARG,missing_canonical_country_profile_or_only_boundary_context,country boundary/context only or not individually verified; live site states only Brazil and India have canonical country profiles,source snapshots; license verification; source vintage; reference period; method transform; comparability metadata; QA; release artifact regeneration,blocked_pending_source_snapshots_license_method_QA,"no verified source snapshots, licenses, methods, reference periods, or QA in this session; do not publish fabricated values","homepage says 2 canonical country profiles, Brazil and India, with 239 country boundary entries and 0 direct place-evidence rows"
ARM,AM,Armenia,Republic of Armenia,release-candidate-2026-07-07.country-context.v0,country:ARM,missing_canonical_country_profile_or_only_boundary_context,country boundary/context only or not individually verified; live site states only Brazil and India have canonical country profiles,source snapshots; license verification; source vintage; reference period; method transform; comparability metadata; QA; release artifact regeneration,blocked_pending_source_snapshots_license_method_QA,"no verified source snapshots, licenses, methods, reference periods, or QA in this session; do not publish fabricated values","homepage says 2 canonical country profiles, Brazil and India, with 239 country boundary entries and 0 direct place-evidence rows"
