dataset_code,dataset_name,provider_name,element_code,element_label,area_code,area_label,item_code,item_label,inferred_series_code,inferred_series_url,area_scope_status,first_fetch_scope,query_plan_status,allowed_use_scope,design_note
QCL,Production: Crops and livestock products,Food and Agriculture Organization of the United Nations,5320,Producing Animals/Slaughtered,1,Armenia,867,"Meat of cattle with the bone, fresh or chilled",1.867.5320,https://api.db.nomics.world/v22/series/FAO/QCL/1.867.5320,all_qcl_area_codes_from_metadata,candidate_validation_scope,candidate_query_plan_only_no_fetch,filter design only; no numeric parsing; no country promotion,"Inferred URL only; do not fetch or parse observations until ChatGPT approves series URL validation, legal status, and source-snapshot manifest fields."
QCL,Production: Crops and livestock products,Food and Agriculture Organization of the United Nations,5320,Producing Animals/Slaughtered,1,Armenia,947,"Meat of buffalo, fresh or chilled",1.947.5320,https://api.db.nomics.world/v22/series/FAO/QCL/1.947.5320,all_qcl_area_codes_from_metadata,candidate_validation_scope,candidate_query_plan_only_no_fetch,filter design only; no numeric parsing; no country promotion,"Inferred URL only; do not fetch or parse observations until ChatGPT approves series URL validation, legal status, and source-snapshot manifest fields."
QCL,Production: Crops and livestock products,Food and Agriculture Organization of the United Nations,5320,Producing Animals/Slaughtered,1,Armenia,977,"Meat of sheep, fresh or chilled",1.977.5320,https://api.db.nomics.world/v22/series/FAO/QCL/1.977.5320,all_qcl_area_codes_from_metadata,candidate_validation_scope,candidate_query_plan_only_no_fetch,filter design only; no numeric parsing; no country promotion,"Inferred URL only; do not fetch or parse observations until ChatGPT approves series URL validation, legal status, and source-snapshot manifest fields."
QCL,Production: Crops and livestock products,Food and Agriculture Organization of the United Nations,5320,Producing Animals/Slaughtered,1,Armenia,1017,"Meat of goat, fresh or chilled",1.1017.5320,https://api.db.nomics.world/v22/series/FAO/QCL/1.1017.5320,all_qcl_area_codes_from_metadata,candidate_validation_scope,candidate_query_plan_only_no_fetch,filter design only; no numeric parsing; no country promotion,"Inferred URL only; do not fetch or parse observations until ChatGPT approves series URL validation, legal status, and source-snapshot manifest fields."
QCL,Production: Crops and livestock products,Food and Agriculture Organization of the United Nations,5320,Producing Animals/Slaughtered,1,Armenia,1035,"Meat of pig with the bone, fresh or chilled",1.1035.5320,https://api.db.nomics.world/v22/series/FAO/QCL/1.1035.5320,all_qcl_area_codes_from_metadata,candidate_validation_scope,candidate_query_plan_only_no_fetch,filter design only; no numeric parsing; no country promotion,"Inferred URL only; do not fetch or parse observations until ChatGPT approves series URL validation, legal status, and source-snapshot manifest fields."
QCL,Production: Crops and livestock products,Food and Agriculture Organization of the United Nations,5320,Producing Animals/Slaughtered,1,Armenia,1058,"Meat of chickens, fresh or chilled",1.1058.5320,https://api.db.nomics.world/v22/series/FAO/QCL/1.1058.5320,all_qcl_area_codes_from_metadata,candidate_validation_scope,candidate_query_plan_only_no_fetch,filter design only; no numeric parsing; no country promotion,"Inferred URL only; do not fetch or parse observations until ChatGPT approves series URL validation, legal status, and source-snapshot manifest fields."
QCL,Production: Crops and livestock products,Food and Agriculture Organization of the United Nations,5320,Producing Animals/Slaughtered,1,Armenia,1069,"Meat of ducks, fresh or chilled",1.1069.5320,https://api.db.nomics.world/v22/series/FAO/QCL/1.1069.5320,all_qcl_area_codes_from_metadata,candidate_validation_scope,candidate_query_plan_only_no_fetch,filter design only; no numeric parsing; no country promotion,"Inferred URL only; do not fetch or parse observations until ChatGPT approves series URL validation, legal status, and source-snapshot manifest fields."
QCL,Production: Crops and livestock products,Food and Agriculture Organization of the United Nations,5320,Producing Animals/Slaughtered,1,Armenia,1073,"Meat of geese, fresh or chilled",1.1073.5320,https://api.db.nomics.world/v22/series/FAO/QCL/1.1073.5320,all_qcl_area_codes_from_metadata,candidate_validation_scope,candidate_query_plan_only_no_fetch,filter design only; no numeric parsing; no country promotion,"Inferred URL only; do not fetch or parse observations until ChatGPT approves series URL validation, legal status, and source-snapshot manifest fields."
QCL,Production: Crops and livestock products,Food and Agriculture Organization of the United Nations,5320,Producing Animals/Slaughtered,1,Armenia,1080,"Meat of turkeys, fresh or chilled",1.1080.5320,https://api.db.nomics.world/v22/series/FAO/QCL/1.1080.5320,all_qcl_area_codes_from_metadata,candidate_validation_scope,candidate_query_plan_only_no_fetch,filter design only; no numeric parsing; no country promotion,"Inferred URL only; do not fetch or parse observations until ChatGPT approves series URL validation, legal status, and source-snapshot manifest fields."
QCL,Production: Crops and livestock products,Food and Agriculture Organization of the United Nations,5320,Producing Animals/Slaughtered,1,Armenia,1097,"Horse meat, fresh or chilled",1.1097.5320,https://api.db.nomics.world/v22/series/FAO/QCL/1.1097.5320,all_qcl_area_codes_from_metadata,candidate_validation_scope,candidate_query_plan_only_no_fetch,filter design only; no numeric parsing; no country promotion,"Inferred URL only; do not fetch or parse observations until ChatGPT approves series URL validation, legal status, and source-snapshot manifest fields."
