dataset_code,dataset_name,provider_name,element_code,element_label,item_code,item_label,include_status,classification_basis,double_counting_risk_note,method_status,allowed_use_scope
QCL,Production: Crops and livestock products,Food and Agriculture Organization of the United Nations,5320,Producing Animals/Slaughtered,15,Wheat,excluded_non_primary_or_aggregate_or_derivative,Not in ChatGPT-reviewed primary meat whitelist or manual-review animal list.,"Excluded from first filter design because QCL includes live animals, offal, fat, milk, derivative, crop, aggregate, and other non-primary-meat items.",candidate_filter_design_only_not_parse_eligible,filter design only; no numeric parsing; no country promotion
QCL,Production: Crops and livestock products,Food and Agriculture Organization of the United Nations,5320,Producing Animals/Slaughtered,27,Rice,excluded_non_primary_or_aggregate_or_derivative,Not in ChatGPT-reviewed primary meat whitelist or manual-review animal list.,"Excluded from first filter design because QCL includes live animals, offal, fat, milk, derivative, crop, aggregate, and other non-primary-meat items.",candidate_filter_design_only_not_parse_eligible,filter design only; no numeric parsing; no country promotion
QCL,Production: Crops and livestock products,Food and Agriculture Organization of the United Nations,5320,Producing Animals/Slaughtered,44,Barley,excluded_non_primary_or_aggregate_or_derivative,Not in ChatGPT-reviewed primary meat whitelist or manual-review animal list.,"Excluded from first filter design because QCL includes live animals, offal, fat, milk, derivative, crop, aggregate, and other non-primary-meat items.",candidate_filter_design_only_not_parse_eligible,filter design only; no numeric parsing; no country promotion
QCL,Production: Crops and livestock products,Food and Agriculture Organization of the United Nations,5320,Producing Animals/Slaughtered,51,"Beer of barley, malted",excluded_non_primary_or_aggregate_or_derivative,Not in ChatGPT-reviewed primary meat whitelist or manual-review animal list.,"Excluded from first filter design because QCL includes live animals, offal, fat, milk, derivative, crop, aggregate, and other non-primary-meat items.",candidate_filter_design_only_not_parse_eligible,filter design only; no numeric parsing; no country promotion
QCL,Production: Crops and livestock products,Food and Agriculture Organization of the United Nations,5320,Producing Animals/Slaughtered,56,Maize (corn),excluded_non_primary_or_aggregate_or_derivative,Not in ChatGPT-reviewed primary meat whitelist or manual-review animal list.,"Excluded from first filter design because QCL includes live animals, offal, fat, milk, derivative, crop, aggregate, and other non-primary-meat items.",candidate_filter_design_only_not_parse_eligible,filter design only; no numeric parsing; no country promotion
QCL,Production: Crops and livestock products,Food and Agriculture Organization of the United Nations,5320,Producing Animals/Slaughtered,60,Oil of maize,excluded_non_primary_or_aggregate_or_derivative,Not in ChatGPT-reviewed primary meat whitelist or manual-review animal list.,"Excluded from first filter design because QCL includes live animals, offal, fat, milk, derivative, crop, aggregate, and other non-primary-meat items.",candidate_filter_design_only_not_parse_eligible,filter design only; no numeric parsing; no country promotion
QCL,Production: Crops and livestock products,Food and Agriculture Organization of the United Nations,5320,Producing Animals/Slaughtered,71,Rye,excluded_non_primary_or_aggregate_or_derivative,Not in ChatGPT-reviewed primary meat whitelist or manual-review animal list.,"Excluded from first filter design because QCL includes live animals, offal, fat, milk, derivative, crop, aggregate, and other non-primary-meat items.",candidate_filter_design_only_not_parse_eligible,filter design only; no numeric parsing; no country promotion
QCL,Production: Crops and livestock products,Food and Agriculture Organization of the United Nations,5320,Producing Animals/Slaughtered,75,Oats,excluded_non_primary_or_aggregate_or_derivative,Not in ChatGPT-reviewed primary meat whitelist or manual-review animal list.,"Excluded from first filter design because QCL includes live animals, offal, fat, milk, derivative, crop, aggregate, and other non-primary-meat items.",candidate_filter_design_only_not_parse_eligible,filter design only; no numeric parsing; no country promotion
QCL,Production: Crops and livestock products,Food and Agriculture Organization of the United Nations,5320,Producing Animals/Slaughtered,79,Millet,excluded_non_primary_or_aggregate_or_derivative,Not in ChatGPT-reviewed primary meat whitelist or manual-review animal list.,"Excluded from first filter design because QCL includes live animals, offal, fat, milk, derivative, crop, aggregate, and other non-primary-meat items.",candidate_filter_design_only_not_parse_eligible,filter design only; no numeric parsing; no country promotion
QCL,Production: Crops and livestock products,Food and Agriculture Organization of the United Nations,5320,Producing Animals/Slaughtered,83,Sorghum,excluded_non_primary_or_aggregate_or_derivative,Not in ChatGPT-reviewed primary meat whitelist or manual-review animal list.,"Excluded from first filter design because QCL includes live animals, offal, fat, milk, derivative, crop, aggregate, and other non-primary-meat items.",candidate_filter_design_only_not_parse_eligible,filter design only; no numeric parsing; no country promotion
QCL,Production: Crops and livestock products,Food and Agriculture Organization of the United Nations,5320,Producing Animals/Slaughtered,89,Buckwheat,excluded_non_primary_or_aggregate_or_derivative,Not in ChatGPT-reviewed primary meat whitelist or manual-review animal list.,"Excluded from first filter design because QCL includes live animals, offal, fat, milk, derivative, crop, aggregate, and other non-primary-meat items.",candidate_filter_design_only_not_parse_eligible,filter design only; no numeric parsing; no country promotion
QCL,Production: Crops and livestock products,Food and Agriculture Organization of the United Nations,5320,Producing Animals/Slaughtered,92,Quinoa,excluded_non_primary_or_aggregate_or_derivative,Not in ChatGPT-reviewed primary meat whitelist or manual-review animal list.,"Excluded from first filter design because QCL includes live animals, offal, fat, milk, derivative, crop, aggregate, and other non-primary-meat items.",candidate_filter_design_only_not_parse_eligible,filter design only; no numeric parsing; no country promotion
QCL,Production: Crops and livestock products,Food and Agriculture Organization of the United Nations,5320,Producing Animals/Slaughtered,94,Fonio,excluded_non_primary_or_aggregate_or_derivative,Not in ChatGPT-reviewed primary meat whitelist or manual-review animal list.,"Excluded from first filter design because QCL includes live animals, offal, fat, milk, derivative, crop, aggregate, and other non-primary-meat items.",candidate_filter_design_only_not_parse_eligible,filter design only; no numeric parsing; no country promotion
QCL,Production: Crops and livestock products,Food and Agriculture Organization of the United Nations,5320,Producing Animals/Slaughtered,97,Triticale,excluded_non_primary_or_aggregate_or_derivative,Not in ChatGPT-reviewed primary meat whitelist or manual-review animal list.,"Excluded from first filter design because QCL includes live animals, offal, fat, milk, derivative, crop, aggregate, and other non-primary-meat items.",candidate_filter_design_only_not_parse_eligible,filter design only; no numeric parsing; no country promotion
QCL,Production: Crops and livestock products,Food and Agriculture Organization of the United Nations,5320,Producing Animals/Slaughtered,101,Canary seed,excluded_non_primary_or_aggregate_or_derivative,Not in ChatGPT-reviewed primary meat whitelist or manual-review animal list.,"Excluded from first filter design because QCL includes live animals, offal, fat, milk, derivative, crop, aggregate, and other non-primary-meat items.",candidate_filter_design_only_not_parse_eligible,filter design only; no numeric parsing; no country promotion
QCL,Production: Crops and livestock products,Food and Agriculture Organization of the United Nations,5320,Producing Animals/Slaughtered,103,Mixed grain,excluded_non_primary_or_aggregate_or_derivative,Not in ChatGPT-reviewed primary meat whitelist or manual-review animal list.,"Excluded from first filter design because QCL includes live animals, offal, fat, milk, derivative, crop, aggregate, and other non-primary-meat items.",candidate_filter_design_only_not_parse_eligible,filter design only; no numeric parsing; no country promotion
QCL,Production: Crops and livestock products,Food and Agriculture Organization of the United Nations,5320,Producing Animals/Slaughtered,108,Cereals n.e.c.,excluded_non_primary_or_aggregate_or_derivative,Not in ChatGPT-reviewed primary meat whitelist or manual-review animal list.,"Excluded from first filter design because QCL includes live animals, offal, fat, milk, derivative, crop, aggregate, and other non-primary-meat items.",candidate_filter_design_only_not_parse_eligible,filter design only; no numeric parsing; no country promotion
QCL,Production: Crops and livestock products,Food and Agriculture Organization of the United Nations,5320,Producing Animals/Slaughtered,116,Potatoes,excluded_non_primary_or_aggregate_or_derivative,Not in ChatGPT-reviewed primary meat whitelist or manual-review animal list.,"Excluded from first filter design because QCL includes live animals, offal, fat, milk, derivative, crop, aggregate, and other non-primary-meat items.",candidate_filter_design_only_not_parse_eligible,filter design only; no numeric parsing; no country promotion
QCL,Production: Crops and livestock products,Food and Agriculture Organization of the United Nations,5320,Producing Animals/Slaughtered,122,Sweet potatoes,excluded_non_primary_or_aggregate_or_derivative,Not in ChatGPT-reviewed primary meat whitelist or manual-review animal list.,"Excluded from first filter design because QCL includes live animals, offal, fat, milk, derivative, crop, aggregate, and other non-primary-meat items.",candidate_filter_design_only_not_parse_eligible,filter design only; no numeric parsing; no country promotion
QCL,Production: Crops and livestock products,Food and Agriculture Organization of the United Nations,5320,Producing Animals/Slaughtered,125,"Cassava, fresh",excluded_non_primary_or_aggregate_or_derivative,Not in ChatGPT-reviewed primary meat whitelist or manual-review animal list.,"Excluded from first filter design because QCL includes live animals, offal, fat, milk, derivative, crop, aggregate, and other non-primary-meat items.",candidate_filter_design_only_not_parse_eligible,filter design only; no numeric parsing; no country promotion
