candidate_source_id,source_family,blocked_layer_ids_it_could_unblock,intended_issue_ids,candidate_url,request_method,http_status,content_type,content_length,accept_ranges,redirect_url,sample_sha256,sample_byte_size,machine_readable,appears_to_be_metadata,appears_to_be_data,publisher,license_name,license_uri,terms_url,third_party_exception_possible,raw_snapshot_storage_initial_assessment,derived_values_publication_initial_assessment,required_attribution,no_endorsement_caveat,recommended_status,recommended_next_action,error
fao-terms,fao-terms,,,https://www.fao.org/contact-us/terms/db-terms-of-use/en/,GET with Range bytes=0-4095,200,text/html; charset=utf-8,,,https://www.fao.org/contact-us/terms/db-terms-of-use/en/,cbfe41c62289ecbae5f53b6a8b0e3f9cac54d490f085487b891014be315da30b,4096,false,true,false,Food and Agriculture Organization of the United Nations,CC BY 4.0 unless dataset metadata/webpage specifies otherwise,https://creativecommons.org/licenses/by/4.0/,https://www.fao.org/contact-us/terms/db-terms-of-use/en/,true,appears permitted under FAO Statistical Database Terms if no dataset-specific third-party exception is present,appears permitted under FAO Statistical Database Terms if no dataset-specific third-party exception is present,FAO. [YYYY]. [Name of database: Name of dataset OR Name of database]. [Accessed on DD Month YYYY]. [URL]. Licence: CC-BY-4.0.,"Do not imply FAO participation, sponsorship, approval, or endorsement.",metadata_review_required,Use as legal/terms basis only; not a data snapshot.,
faostat-qcl-page,faostat-qcl,factory-farmed-animals,issue.factory-farmed-animals,https://www.fao.org/faostat/en/#data/QCL,GET with Range bytes=0-4095,206,text/html,3752,,https://www.fao.org/faostat/en/#data/QCL,e7d6c678671ba94e79217f3ed76de34cf93d3414d9677cedecb66c84089846af,3752,false,true,false,Food and Agriculture Organization of the United Nations,CC BY 4.0 unless dataset metadata/webpage specifies otherwise,https://creativecommons.org/licenses/by/4.0/,https://www.fao.org/contact-us/terms/db-terms-of-use/en/,true,appears permitted under FAO Statistical Database Terms if no dataset-specific third-party exception is present,appears permitted under FAO Statistical Database Terms if no dataset-specific third-party exception is present,FAO. [YYYY]. [Name of database: Name of dataset OR Name of database]. [Accessed on DD Month YYYY]. [URL]. Licence: CC-BY-4.0.,"Do not imply FAO participation, sponsorship, approval, or endorsement.",metadata_review_required,Inspect metadata for exact domain/dataset names and third-party exceptions; do not parse values.,
faostat-rp-page,faostat-pesticides,insects-insecticide,issue.insect-welfare,https://www.fao.org/faostat/en/#data/RP,GET with Range bytes=0-4095,206,text/html,3752,,https://www.fao.org/faostat/en/#data/RP,e7d6c678671ba94e79217f3ed76de34cf93d3414d9677cedecb66c84089846af,3752,false,true,false,Food and Agriculture Organization of the United Nations,CC BY 4.0 unless dataset metadata/webpage specifies otherwise,https://creativecommons.org/licenses/by/4.0/,https://www.fao.org/contact-us/terms/db-terms-of-use/en/,true,appears permitted under FAO Statistical Database Terms if no dataset-specific third-party exception is present,appears permitted under FAO Statistical Database Terms if no dataset-specific third-party exception is present,FAO. [YYYY]. [Name of database: Name of dataset OR Name of database]. [Accessed on DD Month YYYY]. [URL]. Licence: CC-BY-4.0.,"Do not imply FAO participation, sponsorship, approval, or endorsement.",metadata_review_required,Inspect metadata for exact domain/dataset names and third-party exceptions; do not parse values.,
faostat-api-root,faostat-api,factory-farmed-animals;insects-insecticide,issue.factory-farmed-animals;issue.insect-welfare,https://fenixservices.fao.org/faostat/api/v1/,GET with Range bytes=0-4095,521,text/plain; charset=UTF-8,16,,https://fenixservices.fao.org/faostat/api/v1/,4558ae09802e147610ebdb88e4472fe625c897af9a18b04d47dfcdb6b563a138,16,true,true,false,Food and Agriculture Organization of the United Nations,CC BY 4.0 unless dataset metadata/webpage specifies otherwise,https://creativecommons.org/licenses/by/4.0/,https://www.fao.org/contact-us/terms/db-terms-of-use/en/,true,appears permitted under FAO Statistical Database Terms if no dataset-specific third-party exception is present,appears permitted under FAO Statistical Database Terms if no dataset-specific third-party exception is present,FAO. [YYYY]. [Name of database: Name of dataset OR Name of database]. [Accessed on DD Month YYYY]. [URL]. Licence: CC-BY-4.0.,"Do not imply FAO participation, sponsorship, approval, or endorsement.",blocked_endpoint_not_found,Do not fetch; report endpoint failure and ask ChatGPT for corrected FAO URL.,<HTTPError 521: '<none>'>
faostat-domain-codes,faostat-api,factory-farmed-animals;insects-insecticide,issue.factory-farmed-animals;issue.insect-welfare,https://fenixservices.fao.org/faostat/api/v1/Definitions/DomainCodes/DomainCodes,GET with Range bytes=0-4095,521,text/plain; charset=UTF-8,16,,https://fenixservices.fao.org/faostat/api/v1/Definitions/DomainCodes/DomainCodes,4558ae09802e147610ebdb88e4472fe625c897af9a18b04d47dfcdb6b563a138,16,true,true,false,Food and Agriculture Organization of the United Nations,CC BY 4.0 unless dataset metadata/webpage specifies otherwise,https://creativecommons.org/licenses/by/4.0/,https://www.fao.org/contact-us/terms/db-terms-of-use/en/,true,appears permitted under FAO Statistical Database Terms if no dataset-specific third-party exception is present,appears permitted under FAO Statistical Database Terms if no dataset-specific third-party exception is present,FAO. [YYYY]. [Name of database: Name of dataset OR Name of database]. [Accessed on DD Month YYYY]. [URL]. Licence: CC-BY-4.0.,"Do not imply FAO participation, sponsorship, approval, or endorsement.",blocked_endpoint_not_found,Do not fetch; report endpoint failure and ask ChatGPT for corrected FAO URL.,<HTTPError 521: '<none>'>
faostat-element-codes,faostat-api,factory-farmed-animals;insects-insecticide,issue.factory-farmed-animals;issue.insect-welfare,https://fenixservices.fao.org/faostat/api/v1/Definitions/ElementCodes,GET with Range bytes=0-4095,521,text/plain; charset=UTF-8,16,,https://fenixservices.fao.org/faostat/api/v1/Definitions/ElementCodes,4558ae09802e147610ebdb88e4472fe625c897af9a18b04d47dfcdb6b563a138,16,true,true,false,Food and Agriculture Organization of the United Nations,CC BY 4.0 unless dataset metadata/webpage specifies otherwise,https://creativecommons.org/licenses/by/4.0/,https://www.fao.org/contact-us/terms/db-terms-of-use/en/,true,appears permitted under FAO Statistical Database Terms if no dataset-specific third-party exception is present,appears permitted under FAO Statistical Database Terms if no dataset-specific third-party exception is present,FAO. [YYYY]. [Name of database: Name of dataset OR Name of database]. [Accessed on DD Month YYYY]. [URL]. Licence: CC-BY-4.0.,"Do not imply FAO participation, sponsorship, approval, or endorsement.",blocked_endpoint_not_found,Do not fetch; report endpoint failure and ask ChatGPT for corrected FAO URL.,<HTTPError 521: '<none>'>
faostat-item-codes,faostat-api,factory-farmed-animals;insects-insecticide,issue.factory-farmed-animals;issue.insect-welfare,https://fenixservices.fao.org/faostat/api/v1/Definitions/ItemCodes,GET with Range bytes=0-4095,521,text/plain; charset=UTF-8,16,,https://fenixservices.fao.org/faostat/api/v1/Definitions/ItemCodes,4558ae09802e147610ebdb88e4472fe625c897af9a18b04d47dfcdb6b563a138,16,true,true,false,Food and Agriculture Organization of the United Nations,CC BY 4.0 unless dataset metadata/webpage specifies otherwise,https://creativecommons.org/licenses/by/4.0/,https://www.fao.org/contact-us/terms/db-terms-of-use/en/,true,appears permitted under FAO Statistical Database Terms if no dataset-specific third-party exception is present,appears permitted under FAO Statistical Database Terms if no dataset-specific third-party exception is present,FAO. [YYYY]. [Name of database: Name of dataset OR Name of database]. [Accessed on DD Month YYYY]. [URL]. Licence: CC-BY-4.0.,"Do not imply FAO participation, sponsorship, approval, or endorsement.",blocked_endpoint_not_found,Do not fetch; report endpoint failure and ask ChatGPT for corrected FAO URL.,<HTTPError 521: '<none>'>
faostat-qcl-bulk-normalized,faostat-qcl,factory-farmed-animals,issue.factory-farmed-animals,https://bulks-faostat.fao.org/production/Crops_Livestock_Products_E_All_Data_(Normalized).zip,GET with Range bytes=0-4095,403,text/html,919,,https://bulks-faostat.fao.org/production/Crops_Livestock_Products_E_All_Data_(Normalized).zip,65f2a4c9f94ad951364f15549aeaea87e49bfd86aabe2d5714aec22c8ba328b3,512,true,true,true,Food and Agriculture Organization of the United Nations,CC BY 4.0 unless dataset metadata/webpage specifies otherwise,https://creativecommons.org/licenses/by/4.0/,https://www.fao.org/contact-us/terms/db-terms-of-use/en/,true,appears permitted under FAO Statistical Database Terms if no dataset-specific third-party exception is present,appears permitted under FAO Statistical Database Terms if no dataset-specific third-party exception is present,FAO. [YYYY]. [Name of database: Name of dataset OR Name of database]. [Accessed on DD Month YYYY]. [URL]. Licence: CC-BY-4.0.,"Do not imply FAO participation, sponsorship, approval, or endorsement.",blocked_endpoint_not_found,Do not fetch; report endpoint failure and ask ChatGPT for corrected FAO URL.,<HTTPError 403: 'Forbidden'>
faostat-qcl-bulk-wide,faostat-qcl,factory-farmed-animals,issue.factory-farmed-animals,https://bulks-faostat.fao.org/production/Crops_Livestock_Products_E_All_Data.zip,GET with Range bytes=0-4095,403,text/html,919,,https://bulks-faostat.fao.org/production/Crops_Livestock_Products_E_All_Data.zip,65f2a4c9f94ad951364f15549aeaea87e49bfd86aabe2d5714aec22c8ba328b3,512,true,true,true,Food and Agriculture Organization of the United Nations,CC BY 4.0 unless dataset metadata/webpage specifies otherwise,https://creativecommons.org/licenses/by/4.0/,https://www.fao.org/contact-us/terms/db-terms-of-use/en/,true,appears permitted under FAO Statistical Database Terms if no dataset-specific third-party exception is present,appears permitted under FAO Statistical Database Terms if no dataset-specific third-party exception is present,FAO. [YYYY]. [Name of database: Name of dataset OR Name of database]. [Accessed on DD Month YYYY]. [URL]. Licence: CC-BY-4.0.,"Do not imply FAO participation, sponsorship, approval, or endorsement.",blocked_endpoint_not_found,Do not fetch; report endpoint failure and ask ChatGPT for corrected FAO URL.,<HTTPError 403: 'Forbidden'>
faostat-pesticides-bulk-normalized,faostat-pesticides,insects-insecticide,issue.insect-welfare,https://bulks-faostat.fao.org/inputs/Pesticides_Use_E_All_Data_(Normalized).zip,GET with Range bytes=0-4095,403,text/html,919,,https://bulks-faostat.fao.org/inputs/Pesticides_Use_E_All_Data_(Normalized).zip,65f2a4c9f94ad951364f15549aeaea87e49bfd86aabe2d5714aec22c8ba328b3,512,true,true,true,Food and Agriculture Organization of the United Nations,CC BY 4.0 unless dataset metadata/webpage specifies otherwise,https://creativecommons.org/licenses/by/4.0/,https://www.fao.org/contact-us/terms/db-terms-of-use/en/,true,appears permitted under FAO Statistical Database Terms if no dataset-specific third-party exception is present,appears permitted under FAO Statistical Database Terms if no dataset-specific third-party exception is present,FAO. [YYYY]. [Name of database: Name of dataset OR Name of database]. [Accessed on DD Month YYYY]. [URL]. Licence: CC-BY-4.0.,"Do not imply FAO participation, sponsorship, approval, or endorsement.",blocked_endpoint_not_found,Do not fetch; report endpoint failure and ask ChatGPT for corrected FAO URL.,<HTTPError 403: 'Forbidden'>
