candidate_row_id,release_candidate_id,release_id,place_id,iso3,country_name,layer_id,issue_id,metric_id,indicator_id,indicator_name,row_role,evidence_kind,value_type,raw_value,normalized_value,display_value,unit_label,ranking_mode,rank_value,reference_period,reference_period_semantics,source_vintage,method_id,method_version,transform_version,source_ids,source_snapshot_ids,license_id,attribution,uncertainty_class,caveat,comparability_group_id,evidence_compatibility_rule,coverage_status,coverage_reason,missing_inputs,promotion_decision,allowed_use_scope,source_file_checksum,source_file_checksum_algorithm,source_file_byte_size,retrieval_timestamp
wdi-context-abw-sp-pop-totl,release-candidate-2026-07-07.country-context.v0,release-candidate-2026-07-07.country-context.v0,ABW,ABW,Aruba,country-context-population,issue.human-context,population_total,SP.POP.TOTL,"Population, total",country_context_denominator,direct_context,count,108785,,"108,785 people",people,none,,2025,latest_non_null_wdi_year,2025,method.wdi-country-context-latest-non-null,method.wdi-country-context-latest-non-null.v0,transform.wdi-country-context-latest-non-null.v0,"[""world-bank-wdi-api""]","[""snapshot.release-candidate-2026-07-07.country-context.v0.world-bank-wdi-api.1""]",cc-by-4.0-world-bank-wdi,The World Bank: World Development Indicators: data source as indicated in indicator metadata; include data-provider attribution; do not imply World Bank endorsement.,context_only,Context denominator from World Bank WDI; not a pain/suffering measurement and not sufficient for country profile promotion.,context-denominator-population,"comparable only as WDI country context denominator, not as pain/suffering estimate",partial_context_only,WDI context denominator parsed from latest non-null value; not a canonical pain/suffering profile,"[""owid-land-animals-slaughtered"",""owid-farmed-fish-killed"",""owid-wild-caught-fish"",""owid-farmed-crustaceans"",""owid-insecticide-use-fao"",""fishcount-farmed-fish"",""fishcount-farmed-decapods""]",not_promoted_context_only,Context-only parsing for country denominators and land-context layers; not pain/suffering measurements; no country promotion without later normalization and promotion gates.,f958560b78db644282c7147853e0d1a7eff6e324625db44dbd719c0571fceaf4,sha256,3512287,2026-07-07T10:23:47Z
wdi-context-afg-sp-pop-totl,release-candidate-2026-07-07.country-context.v0,release-candidate-2026-07-07.country-context.v0,AFG,AFG,Afghanistan,country-context-population,issue.human-context,population_total,SP.POP.TOTL,"Population, total",country_context_denominator,direct_context,count,43844111,,"43,844,111 people",people,none,,2025,latest_non_null_wdi_year,2025,method.wdi-country-context-latest-non-null,method.wdi-country-context-latest-non-null.v0,transform.wdi-country-context-latest-non-null.v0,"[""world-bank-wdi-api""]","[""snapshot.release-candidate-2026-07-07.country-context.v0.world-bank-wdi-api.1""]",cc-by-4.0-world-bank-wdi,The World Bank: World Development Indicators: data source as indicated in indicator metadata; include data-provider attribution; do not imply World Bank endorsement.,context_only,Context denominator from World Bank WDI; not a pain/suffering measurement and not sufficient for country profile promotion.,context-denominator-population,"comparable only as WDI country context denominator, not as pain/suffering estimate",partial_context_only,WDI context denominator parsed from latest non-null value; not a canonical pain/suffering profile,"[""owid-land-animals-slaughtered"",""owid-farmed-fish-killed"",""owid-wild-caught-fish"",""owid-farmed-crustaceans"",""owid-insecticide-use-fao"",""fishcount-farmed-fish"",""fishcount-farmed-decapods""]",not_promoted_context_only,Context-only parsing for country denominators and land-context layers; not pain/suffering measurements; no country promotion without later normalization and promotion gates.,f958560b78db644282c7147853e0d1a7eff6e324625db44dbd719c0571fceaf4,sha256,3512287,2026-07-07T10:23:47Z
wdi-context-ago-sp-pop-totl,release-candidate-2026-07-07.country-context.v0,release-candidate-2026-07-07.country-context.v0,AGO,AGO,Angola,country-context-population,issue.human-context,population_total,SP.POP.TOTL,"Population, total",country_context_denominator,direct_context,count,39040039,,"39,040,039 people",people,none,,2025,latest_non_null_wdi_year,2025,method.wdi-country-context-latest-non-null,method.wdi-country-context-latest-non-null.v0,transform.wdi-country-context-latest-non-null.v0,"[""world-bank-wdi-api""]","[""snapshot.release-candidate-2026-07-07.country-context.v0.world-bank-wdi-api.1""]",cc-by-4.0-world-bank-wdi,The World Bank: World Development Indicators: data source as indicated in indicator metadata; include data-provider attribution; do not imply World Bank endorsement.,context_only,Context denominator from World Bank WDI; not a pain/suffering measurement and not sufficient for country profile promotion.,context-denominator-population,"comparable only as WDI country context denominator, not as pain/suffering estimate",partial_context_only,WDI context denominator parsed from latest non-null value; not a canonical pain/suffering profile,"[""owid-land-animals-slaughtered"",""owid-farmed-fish-killed"",""owid-wild-caught-fish"",""owid-farmed-crustaceans"",""owid-insecticide-use-fao"",""fishcount-farmed-fish"",""fishcount-farmed-decapods""]",not_promoted_context_only,Context-only parsing for country denominators and land-context layers; not pain/suffering measurements; no country promotion without later normalization and promotion gates.,f958560b78db644282c7147853e0d1a7eff6e324625db44dbd719c0571fceaf4,sha256,3512287,2026-07-07T10:23:47Z
wdi-context-alb-sp-pop-totl,release-candidate-2026-07-07.country-context.v0,release-candidate-2026-07-07.country-context.v0,ALB,ALB,Albania,country-context-population,issue.human-context,population_total,SP.POP.TOTL,"Population, total",country_context_denominator,direct_context,count,2349580,,"2,349,580 people",people,none,,2025,latest_non_null_wdi_year,2025,method.wdi-country-context-latest-non-null,method.wdi-country-context-latest-non-null.v0,transform.wdi-country-context-latest-non-null.v0,"[""world-bank-wdi-api""]","[""snapshot.release-candidate-2026-07-07.country-context.v0.world-bank-wdi-api.1""]",cc-by-4.0-world-bank-wdi,The World Bank: World Development Indicators: data source as indicated in indicator metadata; include data-provider attribution; do not imply World Bank endorsement.,context_only,Context denominator from World Bank WDI; not a pain/suffering measurement and not sufficient for country profile promotion.,context-denominator-population,"comparable only as WDI country context denominator, not as pain/suffering estimate",partial_context_only,WDI context denominator parsed from latest non-null value; not a canonical pain/suffering profile,"[""owid-land-animals-slaughtered"",""owid-farmed-fish-killed"",""owid-wild-caught-fish"",""owid-farmed-crustaceans"",""owid-insecticide-use-fao"",""fishcount-farmed-fish"",""fishcount-farmed-decapods""]",not_promoted_context_only,Context-only parsing for country denominators and land-context layers; not pain/suffering measurements; no country promotion without later normalization and promotion gates.,f958560b78db644282c7147853e0d1a7eff6e324625db44dbd719c0571fceaf4,sha256,3512287,2026-07-07T10:23:47Z
wdi-context-and-sp-pop-totl,release-candidate-2026-07-07.country-context.v0,release-candidate-2026-07-07.country-context.v0,AND,AND,Andorra,country-context-population,issue.human-context,population_total,SP.POP.TOTL,"Population, total",country_context_denominator,direct_context,count,82904,,"82,904 people",people,none,,2025,latest_non_null_wdi_year,2025,method.wdi-country-context-latest-non-null,method.wdi-country-context-latest-non-null.v0,transform.wdi-country-context-latest-non-null.v0,"[""world-bank-wdi-api""]","[""snapshot.release-candidate-2026-07-07.country-context.v0.world-bank-wdi-api.1""]",cc-by-4.0-world-bank-wdi,The World Bank: World Development Indicators: data source as indicated in indicator metadata; include data-provider attribution; do not imply World Bank endorsement.,context_only,Context denominator from World Bank WDI; not a pain/suffering measurement and not sufficient for country profile promotion.,context-denominator-population,"comparable only as WDI country context denominator, not as pain/suffering estimate",partial_context_only,WDI context denominator parsed from latest non-null value; not a canonical pain/suffering profile,"[""owid-land-animals-slaughtered"",""owid-farmed-fish-killed"",""owid-wild-caught-fish"",""owid-farmed-crustaceans"",""owid-insecticide-use-fao"",""fishcount-farmed-fish"",""fishcount-farmed-decapods""]",not_promoted_context_only,Context-only parsing for country denominators and land-context layers; not pain/suffering measurements; no country promotion without later normalization and promotion gates.,f958560b78db644282c7147853e0d1a7eff6e324625db44dbd719c0571fceaf4,sha256,3512287,2026-07-07T10:23:47Z
wdi-context-are-sp-pop-totl,release-candidate-2026-07-07.country-context.v0,release-candidate-2026-07-07.country-context.v0,ARE,ARE,United Arab Emirates,country-context-population,issue.human-context,population_total,SP.POP.TOTL,"Population, total",country_context_denominator,direct_context,count,11513149,,"11,513,149 people",people,none,,2025,latest_non_null_wdi_year,2025,method.wdi-country-context-latest-non-null,method.wdi-country-context-latest-non-null.v0,transform.wdi-country-context-latest-non-null.v0,"[""world-bank-wdi-api""]","[""snapshot.release-candidate-2026-07-07.country-context.v0.world-bank-wdi-api.1""]",cc-by-4.0-world-bank-wdi,The World Bank: World Development Indicators: data source as indicated in indicator metadata; include data-provider attribution; do not imply World Bank endorsement.,context_only,Context denominator from World Bank WDI; not a pain/suffering measurement and not sufficient for country profile promotion.,context-denominator-population,"comparable only as WDI country context denominator, not as pain/suffering estimate",partial_context_only,WDI context denominator parsed from latest non-null value; not a canonical pain/suffering profile,"[""owid-land-animals-slaughtered"",""owid-farmed-fish-killed"",""owid-wild-caught-fish"",""owid-farmed-crustaceans"",""owid-insecticide-use-fao"",""fishcount-farmed-fish"",""fishcount-farmed-decapods""]",not_promoted_context_only,Context-only parsing for country denominators and land-context layers; not pain/suffering measurements; no country promotion without later normalization and promotion gates.,f958560b78db644282c7147853e0d1a7eff6e324625db44dbd719c0571fceaf4,sha256,3512287,2026-07-07T10:23:47Z
wdi-context-arg-sp-pop-totl,release-candidate-2026-07-07.country-context.v0,release-candidate-2026-07-07.country-context.v0,ARG,ARG,Argentina,country-context-population,issue.human-context,population_total,SP.POP.TOTL,"Population, total",country_context_denominator,direct_context,count,45851378,,"45,851,378 people",people,none,,2025,latest_non_null_wdi_year,2025,method.wdi-country-context-latest-non-null,method.wdi-country-context-latest-non-null.v0,transform.wdi-country-context-latest-non-null.v0,"[""world-bank-wdi-api""]","[""snapshot.release-candidate-2026-07-07.country-context.v0.world-bank-wdi-api.1""]",cc-by-4.0-world-bank-wdi,The World Bank: World Development Indicators: data source as indicated in indicator metadata; include data-provider attribution; do not imply World Bank endorsement.,context_only,Context denominator from World Bank WDI; not a pain/suffering measurement and not sufficient for country profile promotion.,context-denominator-population,"comparable only as WDI country context denominator, not as pain/suffering estimate",partial_context_only,WDI context denominator parsed from latest non-null value; not a canonical pain/suffering profile,"[""owid-land-animals-slaughtered"",""owid-farmed-fish-killed"",""owid-wild-caught-fish"",""owid-farmed-crustaceans"",""owid-insecticide-use-fao"",""fishcount-farmed-fish"",""fishcount-farmed-decapods""]",not_promoted_context_only,Context-only parsing for country denominators and land-context layers; not pain/suffering measurements; no country promotion without later normalization and promotion gates.,f958560b78db644282c7147853e0d1a7eff6e324625db44dbd719c0571fceaf4,sha256,3512287,2026-07-07T10:23:47Z
wdi-context-arm-sp-pop-totl,release-candidate-2026-07-07.country-context.v0,release-candidate-2026-07-07.country-context.v0,ARM,ARM,Armenia,country-context-population,issue.human-context,population_total,SP.POP.TOTL,"Population, total",country_context_denominator,direct_context,count,3086700,,"3,086,700 people",people,none,,2025,latest_non_null_wdi_year,2025,method.wdi-country-context-latest-non-null,method.wdi-country-context-latest-non-null.v0,transform.wdi-country-context-latest-non-null.v0,"[""world-bank-wdi-api""]","[""snapshot.release-candidate-2026-07-07.country-context.v0.world-bank-wdi-api.1""]",cc-by-4.0-world-bank-wdi,The World Bank: World Development Indicators: data source as indicated in indicator metadata; include data-provider attribution; do not imply World Bank endorsement.,context_only,Context denominator from World Bank WDI; not a pain/suffering measurement and not sufficient for country profile promotion.,context-denominator-population,"comparable only as WDI country context denominator, not as pain/suffering estimate",partial_context_only,WDI context denominator parsed from latest non-null value; not a canonical pain/suffering profile,"[""owid-land-animals-slaughtered"",""owid-farmed-fish-killed"",""owid-wild-caught-fish"",""owid-farmed-crustaceans"",""owid-insecticide-use-fao"",""fishcount-farmed-fish"",""fishcount-farmed-decapods""]",not_promoted_context_only,Context-only parsing for country denominators and land-context layers; not pain/suffering measurements; no country promotion without later normalization and promotion gates.,f958560b78db644282c7147853e0d1a7eff6e324625db44dbd719c0571fceaf4,sha256,3512287,2026-07-07T10:23:47Z
wdi-context-asm-sp-pop-totl,release-candidate-2026-07-07.country-context.v0,release-candidate-2026-07-07.country-context.v0,ASM,ASM,American Samoa,country-context-population,issue.human-context,population_total,SP.POP.TOTL,"Population, total",country_context_denominator,direct_context,count,46029,,"46,029 people",people,none,,2025,latest_non_null_wdi_year,2025,method.wdi-country-context-latest-non-null,method.wdi-country-context-latest-non-null.v0,transform.wdi-country-context-latest-non-null.v0,"[""world-bank-wdi-api""]","[""snapshot.release-candidate-2026-07-07.country-context.v0.world-bank-wdi-api.1""]",cc-by-4.0-world-bank-wdi,The World Bank: World Development Indicators: data source as indicated in indicator metadata; include data-provider attribution; do not imply World Bank endorsement.,context_only,Context denominator from World Bank WDI; not a pain/suffering measurement and not sufficient for country profile promotion.,context-denominator-population,"comparable only as WDI country context denominator, not as pain/suffering estimate",partial_context_only,WDI context denominator parsed from latest non-null value; not a canonical pain/suffering profile,"[""owid-land-animals-slaughtered"",""owid-farmed-fish-killed"",""owid-wild-caught-fish"",""owid-farmed-crustaceans"",""owid-insecticide-use-fao"",""fishcount-farmed-fish"",""fishcount-farmed-decapods""]",not_promoted_context_only,Context-only parsing for country denominators and land-context layers; not pain/suffering measurements; no country promotion without later normalization and promotion gates.,f958560b78db644282c7147853e0d1a7eff6e324625db44dbd719c0571fceaf4,sha256,3512287,2026-07-07T10:23:47Z
wdi-context-atg-sp-pop-totl,release-candidate-2026-07-07.country-context.v0,release-candidate-2026-07-07.country-context.v0,ATG,ATG,Antigua and Barbuda,country-context-population,issue.human-context,population_total,SP.POP.TOTL,"Population, total",country_context_denominator,direct_context,count,94209,,"94,209 people",people,none,,2025,latest_non_null_wdi_year,2025,method.wdi-country-context-latest-non-null,method.wdi-country-context-latest-non-null.v0,transform.wdi-country-context-latest-non-null.v0,"[""world-bank-wdi-api""]","[""snapshot.release-candidate-2026-07-07.country-context.v0.world-bank-wdi-api.1""]",cc-by-4.0-world-bank-wdi,The World Bank: World Development Indicators: data source as indicated in indicator metadata; include data-provider attribution; do not imply World Bank endorsement.,context_only,Context denominator from World Bank WDI; not a pain/suffering measurement and not sufficient for country profile promotion.,context-denominator-population,"comparable only as WDI country context denominator, not as pain/suffering estimate",partial_context_only,WDI context denominator parsed from latest non-null value; not a canonical pain/suffering profile,"[""owid-land-animals-slaughtered"",""owid-farmed-fish-killed"",""owid-wild-caught-fish"",""owid-farmed-crustaceans"",""owid-insecticide-use-fao"",""fishcount-farmed-fish"",""fishcount-farmed-decapods""]",not_promoted_context_only,Context-only parsing for country denominators and land-context layers; not pain/suffering measurements; no country promotion without later normalization and promotion gates.,f958560b78db644282c7147853e0d1a7eff6e324625db44dbd719c0571fceaf4,sha256,3512287,2026-07-07T10:23:47Z
