source_snapshot_id,source_id,fetch_status,parse_status,can_store_raw_snapshot,original_local_path,byte_size,checksum_algorithm,checksum,storage_status,storage_action,storage_reason
snapshot.release-candidate-2026-07-07.country-context.v0.world-bank-wdi-api.1,world-bank-wdi-api,ok,parse_eligible,true,fetched-source-snapshots/snapshot.release-candidate-2026-07-07.country-context.v0.world-bank-wdi-api.1.html,3512287,sha256,f958560b78db644282c7147853e0d1a7eff6e324625db44dbd719c0571fceaf4,stored_review_permitted,kept_local_raw_snapshot,source/license review set can_store_raw_snapshot=true
snapshot.release-candidate-2026-07-07.country-context.v0.world-bank-wdi-api.2,world-bank-wdi-api,ok,parse_eligible,true,fetched-source-snapshots/snapshot.release-candidate-2026-07-07.country-context.v0.world-bank-wdi-api.2.html,3556710,sha256,fa2511c12343943bacc2bbfe901c64853525a388c599ba0c915a5637a1ae3f80,stored_review_permitted,kept_local_raw_snapshot,source/license review set can_store_raw_snapshot=true
snapshot.release-candidate-2026-07-07.country-context.v0.world-bank-wdi-api.3,world-bank-wdi-api,ok,parse_eligible,true,fetched-source-snapshots/snapshot.release-candidate-2026-07-07.country-context.v0.world-bank-wdi-api.3.html,3696853,sha256,68d32178d5806c1d34cd29f34159fe7742668aea1d981f20d60a045943f24eee,stored_review_permitted,kept_local_raw_snapshot,source/license review set can_store_raw_snapshot=true
snapshot.release-candidate-2026-07-07.country-context.v0.owid-land-animals-slaughtered.1,owid-land-animals-slaughtered,ok,blocked_license_unclear,false,fetched-source-snapshots/snapshot.release-candidate-2026-07-07.country-context.v0.owid-land-animals-slaughtered.1.csv,1102112,sha256,1954b498f4cf29e18b5389959da20a13bed22d44a9f658db69e2d4ca6fb0ccdf,removed_after_license_review,deleted_local_raw_snapshot,source/license review set can_store_raw_snapshot=false; storage or redistribution terms are not recorded as permitted
snapshot.release-candidate-2026-07-07.country-context.v0.owid-land-animals-slaughtered.2,owid-land-animals-slaughtered,ok,blocked_license_unclear,false,fetched-source-snapshots/snapshot.release-candidate-2026-07-07.country-context.v0.owid-land-animals-slaughtered.2.json,11815,sha256,0bee3e0bb858ebe54b767a3aeccde165808ed5fa4cfe735b4fb6c22c8ad1f116,removed_after_license_review,deleted_local_raw_snapshot,source/license review set can_store_raw_snapshot=false; storage or redistribution terms are not recorded as permitted
snapshot.release-candidate-2026-07-07.country-context.v0.owid-farmed-fish-killed.1,owid-farmed-fish-killed,ok,blocked_license_unclear,false,fetched-source-snapshots/snapshot.release-candidate-2026-07-07.country-context.v0.owid-farmed-fish-killed.1.csv,29395,sha256,cd27b75f61af6fbebb12fed01cda2d1655f0f5d84690299455bb114ffb501354,removed_after_license_review,deleted_local_raw_snapshot,source/license review set can_store_raw_snapshot=false; storage or redistribution terms are not recorded as permitted
snapshot.release-candidate-2026-07-07.country-context.v0.owid-farmed-fish-killed.2,owid-farmed-fish-killed,ok,blocked_license_unclear,false,fetched-source-snapshots/snapshot.release-candidate-2026-07-07.country-context.v0.owid-farmed-fish-killed.2.json,4835,sha256,3c794f096ce7bacd88119724dd9248523e36ba90a06c2e3d9f3859d2bf7c7e68,removed_after_license_review,deleted_local_raw_snapshot,source/license review set can_store_raw_snapshot=false; storage or redistribution terms are not recorded as permitted
snapshot.release-candidate-2026-07-07.country-context.v0.owid-wild-caught-fish.1,owid-wild-caught-fish,ok,blocked_license_unclear,false,fetched-source-snapshots/snapshot.release-candidate-2026-07-07.country-context.v0.owid-wild-caught-fish.1.csv,13475,sha256,41c60a6411b644028d7392a5acc98745f0288cc2b6fb8a9cf7172bdf594d84d5,removed_after_license_review,deleted_local_raw_snapshot,source/license review set can_store_raw_snapshot=false; storage or redistribution terms are not recorded as permitted
snapshot.release-candidate-2026-07-07.country-context.v0.owid-wild-caught-fish.2,owid-wild-caught-fish,ok,blocked_license_unclear,false,fetched-source-snapshots/snapshot.release-candidate-2026-07-07.country-context.v0.owid-wild-caught-fish.2.json,4006,sha256,9443a464a68a404edcd4266aa014adc9e91054444e7a60e53d2935921a1b63f6,removed_after_license_review,deleted_local_raw_snapshot,source/license review set can_store_raw_snapshot=false; storage or redistribution terms are not recorded as permitted
snapshot.release-candidate-2026-07-07.country-context.v0.owid-farmed-crustaceans.1,owid-farmed-crustaceans,ok,blocked_license_unclear,false,fetched-source-snapshots/snapshot.release-candidate-2026-07-07.country-context.v0.owid-farmed-crustaceans.1.csv,14004,sha256,ec497f2d0d9371c69d54b3d1aad15e376d0966547bbe2e238b9bdea316222906,removed_after_license_review,deleted_local_raw_snapshot,source/license review set can_store_raw_snapshot=false; storage or redistribution terms are not recorded as permitted
snapshot.release-candidate-2026-07-07.country-context.v0.owid-farmed-crustaceans.2,owid-farmed-crustaceans,ok,blocked_license_unclear,false,fetched-source-snapshots/snapshot.release-candidate-2026-07-07.country-context.v0.owid-farmed-crustaceans.2.json,3437,sha256,acac734f35cb7dfd8eb2eed948a1e2e53e33a40594bc048d3184da4a8e863d04,removed_after_license_review,deleted_local_raw_snapshot,source/license review set can_store_raw_snapshot=false; storage or redistribution terms are not recorded as permitted
snapshot.release-candidate-2026-07-07.country-context.v0.owid-insecticide-use-fao.1,owid-insecticide-use-fao,ok,blocked_license_unclear,false,fetched-source-snapshots/snapshot.release-candidate-2026-07-07.country-context.v0.owid-insecticide-use-fao.1.csv,197013,sha256,7928a819d2bf54eb9d8373ceed422bf8de149caabb3dcdbf7ef669a590c12651,removed_after_license_review,deleted_local_raw_snapshot,source/license review set can_store_raw_snapshot=false; storage or redistribution terms are not recorded as permitted
snapshot.release-candidate-2026-07-07.country-context.v0.owid-insecticide-use-fao.2,owid-insecticide-use-fao,ok,blocked_license_unclear,false,fetched-source-snapshots/snapshot.release-candidate-2026-07-07.country-context.v0.owid-insecticide-use-fao.2.json,1355,sha256,9693fd4135842dc5ba61a9113a7d89b4ad1292bb80772d97d6dee21bf96b1687,removed_after_license_review,deleted_local_raw_snapshot,source/license review set can_store_raw_snapshot=false; storage or redistribution terms are not recorded as permitted
