source_snapshot_id,source_id,parse_status,affected_layer_ids,affected_issue_ids,affected_country_count,affected_measurement_stub_count,countries_blocked_if_unavailable,recommended_action
snapshot.release-candidate-2026-07-07.country-context.v0.world-bank-wdi-api.1,world-bank-wdi-api,parse_eligible,human-context-denominators;wild-animal-land-proxy,issue.human-context;issue.wild-animals,249,498,ABW;AFG;AGO;AIA;ALA;ALB;AND;ARE;ARG;ARM;ASM;ATA;ATF;ATG;AUS;AUT;AZE;BDI;BEL;BEN;BES;BFA;BGD;BGR;BHR;BHS;BIH;BLM;BLR;BLZ;BMU;BOL;BRA;BRB;BRN;BTN;BVT;BWA;CAF;CAN;CCK;CHE;CHL;CHN;CIV;CMR;COD;COG;COK;COL;COM;CPV;CRI;CUB;CUW;CXR;CYM;CYP;CZE;DEU;DJI;DMA;DNK;DOM;DZA;ECU;EGY;ERI;ESH;ESP;EST;ETH;FIN;FJI;FLK;FRA;FRO;FSM;GAB;GBR;GEO;GGY;GHA;GIB;GIN;GLP;GMB;GNB;GNQ;GRC;GRD;GRL;GTM;GUF;GUM;GUY;HKG;HMD;HND;HRV;HTI;HUN;IDN;IMN;IND;IOT;IRL;IRN;IRQ;ISL;ISR;ITA;JAM;JEY;JOR;JPN;KAZ;KEN;KGZ;KHM;KIR;KNA;KOR;KWT;LAO;LBN;LBR;LBY;LCA;LIE;LKA;LSO;LTU;LUX;LVA;MAC;MAF;MAR;MCO;MDA;MDG;MDV;MEX;MHL;MKD;MLI;MLT;MMR;MNE;MNG;MNP;MOZ;MRT;MSR;MTQ;MUS;MWI;MYS;MYT;NAM;NCL;NER;NFK;NGA;NIC;NIU;NLD;NOR;NPL;NRU;NZL;OMN;PAK;PAN;PCN;PER;PHL;PLW;PNG;POL;PRI;PRK;PRT;PRY;PSE;PYF;QAT;REU;ROU;RUS;RWA;SAU;SDN;SEN;SGP;SGS;SHN;SJM;SLB;SLE;SLV;SMR;SOM;SPM;SRB;SSD;STP;SUR;SVK;SVN;SWE;SWZ;SXM;SYC;SYR;TCA;TCD;TGO;THA;TJK;TKL;TKM;TLS;TON;TTO;TUN;TUR;TUV;TWN;TZA;UGA;UKR;UMI;URY;USA;UZB;VAT;VCT;VEN;VGB;VIR;VNM;VUT;WLF;WSM;YEM;ZAF;ZMB;ZWE,Parse WDI context fields only after ChatGPT approves schema; keep context separate from pain measurement/ranking rows; update registry/license attribution first.
snapshot.release-candidate-2026-07-07.country-context.v0.world-bank-wdi-api.2,world-bank-wdi-api,parse_eligible,human-context-denominators;wild-animal-land-proxy,issue.human-context;issue.wild-animals,249,498,ABW;AFG;AGO;AIA;ALA;ALB;AND;ARE;ARG;ARM;ASM;ATA;ATF;ATG;AUS;AUT;AZE;BDI;BEL;BEN;BES;BFA;BGD;BGR;BHR;BHS;BIH;BLM;BLR;BLZ;BMU;BOL;BRA;BRB;BRN;BTN;BVT;BWA;CAF;CAN;CCK;CHE;CHL;CHN;CIV;CMR;COD;COG;COK;COL;COM;CPV;CRI;CUB;CUW;CXR;CYM;CYP;CZE;DEU;DJI;DMA;DNK;DOM;DZA;ECU;EGY;ERI;ESH;ESP;EST;ETH;FIN;FJI;FLK;FRA;FRO;FSM;GAB;GBR;GEO;GGY;GHA;GIB;GIN;GLP;GMB;GNB;GNQ;GRC;GRD;GRL;GTM;GUF;GUM;GUY;HKG;HMD;HND;HRV;HTI;HUN;IDN;IMN;IND;IOT;IRL;IRN;IRQ;ISL;ISR;ITA;JAM;JEY;JOR;JPN;KAZ;KEN;KGZ;KHM;KIR;KNA;KOR;KWT;LAO;LBN;LBR;LBY;LCA;LIE;LKA;LSO;LTU;LUX;LVA;MAC;MAF;MAR;MCO;MDA;MDG;MDV;MEX;MHL;MKD;MLI;MLT;MMR;MNE;MNG;MNP;MOZ;MRT;MSR;MTQ;MUS;MWI;MYS;MYT;NAM;NCL;NER;NFK;NGA;NIC;NIU;NLD;NOR;NPL;NRU;NZL;OMN;PAK;PAN;PCN;PER;PHL;PLW;PNG;POL;PRI;PRK;PRT;PRY;PSE;PYF;QAT;REU;ROU;RUS;RWA;SAU;SDN;SEN;SGP;SGS;SHN;SJM;SLB;SLE;SLV;SMR;SOM;SPM;SRB;SSD;STP;SUR;SVK;SVN;SWE;SWZ;SXM;SYC;SYR;TCA;TCD;TGO;THA;TJK;TKL;TKM;TLS;TON;TTO;TUN;TUR;TUV;TWN;TZA;UGA;UKR;UMI;URY;USA;UZB;VAT;VCT;VEN;VGB;VIR;VNM;VUT;WLF;WSM;YEM;ZAF;ZMB;ZWE,Parse WDI context fields only after ChatGPT approves schema; keep context separate from pain measurement/ranking rows; update registry/license attribution first.
snapshot.release-candidate-2026-07-07.country-context.v0.world-bank-wdi-api.3,world-bank-wdi-api,parse_eligible,human-context-denominators;wild-animal-land-proxy,issue.human-context;issue.wild-animals,249,498,ABW;AFG;AGO;AIA;ALA;ALB;AND;ARE;ARG;ARM;ASM;ATA;ATF;ATG;AUS;AUT;AZE;BDI;BEL;BEN;BES;BFA;BGD;BGR;BHR;BHS;BIH;BLM;BLR;BLZ;BMU;BOL;BRA;BRB;BRN;BTN;BVT;BWA;CAF;CAN;CCK;CHE;CHL;CHN;CIV;CMR;COD;COG;COK;COL;COM;CPV;CRI;CUB;CUW;CXR;CYM;CYP;CZE;DEU;DJI;DMA;DNK;DOM;DZA;ECU;EGY;ERI;ESH;ESP;EST;ETH;FIN;FJI;FLK;FRA;FRO;FSM;GAB;GBR;GEO;GGY;GHA;GIB;GIN;GLP;GMB;GNB;GNQ;GRC;GRD;GRL;GTM;GUF;GUM;GUY;HKG;HMD;HND;HRV;HTI;HUN;IDN;IMN;IND;IOT;IRL;IRN;IRQ;ISL;ISR;ITA;JAM;JEY;JOR;JPN;KAZ;KEN;KGZ;KHM;KIR;KNA;KOR;KWT;LAO;LBN;LBR;LBY;LCA;LIE;LKA;LSO;LTU;LUX;LVA;MAC;MAF;MAR;MCO;MDA;MDG;MDV;MEX;MHL;MKD;MLI;MLT;MMR;MNE;MNG;MNP;MOZ;MRT;MSR;MTQ;MUS;MWI;MYS;MYT;NAM;NCL;NER;NFK;NGA;NIC;NIU;NLD;NOR;NPL;NRU;NZL;OMN;PAK;PAN;PCN;PER;PHL;PLW;PNG;POL;PRI;PRK;PRT;PRY;PSE;PYF;QAT;REU;ROU;RUS;RWA;SAU;SDN;SEN;SGP;SGS;SHN;SJM;SLB;SLE;SLV;SMR;SOM;SPM;SRB;SSD;STP;SUR;SVK;SVN;SWE;SWZ;SXM;SYC;SYR;TCA;TCD;TGO;THA;TJK;TKL;TKM;TLS;TON;TTO;TUN;TUR;TUV;TWN;TZA;UGA;UKR;UMI;URY;USA;UZB;VAT;VCT;VEN;VGB;VIR;VNM;VUT;WLF;WSM;YEM;ZAF;ZMB;ZWE,Parse WDI context fields only after ChatGPT approves schema; keep context separate from pain measurement/ranking rows; update registry/license attribution first.
snapshot.release-candidate-2026-07-07.country-context.v0.owid-land-animals-slaughtered.1,owid-land-animals-slaughtered,blocked_license_unclear,factory-farmed-animals,issue.factory-farmed-animals,249,249,ABW;AFG;AGO;AIA;ALA;ALB;AND;ARE;ARG;ARM;ASM;ATA;ATF;ATG;AUS;AUT;AZE;BDI;BEL;BEN;BES;BFA;BGD;BGR;BHR;BHS;BIH;BLM;BLR;BLZ;BMU;BOL;BRA;BRB;BRN;BTN;BVT;BWA;CAF;CAN;CCK;CHE;CHL;CHN;CIV;CMR;COD;COG;COK;COL;COM;CPV;CRI;CUB;CUW;CXR;CYM;CYP;CZE;DEU;DJI;DMA;DNK;DOM;DZA;ECU;EGY;ERI;ESH;ESP;EST;ETH;FIN;FJI;FLK;FRA;FRO;FSM;GAB;GBR;GEO;GGY;GHA;GIB;GIN;GLP;GMB;GNB;GNQ;GRC;GRD;GRL;GTM;GUF;GUM;GUY;HKG;HMD;HND;HRV;HTI;HUN;IDN;IMN;IND;IOT;IRL;IRN;IRQ;ISL;ISR;ITA;JAM;JEY;JOR;JPN;KAZ;KEN;KGZ;KHM;KIR;KNA;KOR;KWT;LAO;LBN;LBR;LBY;LCA;LIE;LKA;LSO;LTU;LUX;LVA;MAC;MAF;MAR;MCO;MDA;MDG;MDV;MEX;MHL;MKD;MLI;MLT;MMR;MNE;MNG;MNP;MOZ;MRT;MSR;MTQ;MUS;MWI;MYS;MYT;NAM;NCL;NER;NFK;NGA;NIC;NIU;NLD;NOR;NPL;NRU;NZL;OMN;PAK;PAN;PCN;PER;PHL;PLW;PNG;POL;PRI;PRK;PRT;PRY;PSE;PYF;QAT;REU;ROU;RUS;RWA;SAU;SDN;SEN;SGP;SGS;SHN;SJM;SLB;SLE;SLV;SMR;SOM;SPM;SRB;SSD;STP;SUR;SVK;SVN;SWE;SWZ;SXM;SYC;SYR;TCA;TCD;TGO;THA;TJK;TKL;TKM;TLS;TON;TTO;TUN;TUR;TUV;TWN;TZA;UGA;UKR;UMI;URY;USA;UZB;VAT;VCT;VEN;VGB;VIR;VNM;VUT;WLF;WSM;YEM;ZAF;ZMB;ZWE,Blocked pending underlying provider license/redistribution review; do not parse via OWID mirror alone.
snapshot.release-candidate-2026-07-07.country-context.v0.owid-land-animals-slaughtered.2,owid-land-animals-slaughtered,blocked_license_unclear,factory-farmed-animals,issue.factory-farmed-animals,249,249,ABW;AFG;AGO;AIA;ALA;ALB;AND;ARE;ARG;ARM;ASM;ATA;ATF;ATG;AUS;AUT;AZE;BDI;BEL;BEN;BES;BFA;BGD;BGR;BHR;BHS;BIH;BLM;BLR;BLZ;BMU;BOL;BRA;BRB;BRN;BTN;BVT;BWA;CAF;CAN;CCK;CHE;CHL;CHN;CIV;CMR;COD;COG;COK;COL;COM;CPV;CRI;CUB;CUW;CXR;CYM;CYP;CZE;DEU;DJI;DMA;DNK;DOM;DZA;ECU;EGY;ERI;ESH;ESP;EST;ETH;FIN;FJI;FLK;FRA;FRO;FSM;GAB;GBR;GEO;GGY;GHA;GIB;GIN;GLP;GMB;GNB;GNQ;GRC;GRD;GRL;GTM;GUF;GUM;GUY;HKG;HMD;HND;HRV;HTI;HUN;IDN;IMN;IND;IOT;IRL;IRN;IRQ;ISL;ISR;ITA;JAM;JEY;JOR;JPN;KAZ;KEN;KGZ;KHM;KIR;KNA;KOR;KWT;LAO;LBN;LBR;LBY;LCA;LIE;LKA;LSO;LTU;LUX;LVA;MAC;MAF;MAR;MCO;MDA;MDG;MDV;MEX;MHL;MKD;MLI;MLT;MMR;MNE;MNG;MNP;MOZ;MRT;MSR;MTQ;MUS;MWI;MYS;MYT;NAM;NCL;NER;NFK;NGA;NIC;NIU;NLD;NOR;NPL;NRU;NZL;OMN;PAK;PAN;PCN;PER;PHL;PLW;PNG;POL;PRI;PRK;PRT;PRY;PSE;PYF;QAT;REU;ROU;RUS;RWA;SAU;SDN;SEN;SGP;SGS;SHN;SJM;SLB;SLE;SLV;SMR;SOM;SPM;SRB;SSD;STP;SUR;SVK;SVN;SWE;SWZ;SXM;SYC;SYR;TCA;TCD;TGO;THA;TJK;TKL;TKM;TLS;TON;TTO;TUN;TUR;TUV;TWN;TZA;UGA;UKR;UMI;URY;USA;UZB;VAT;VCT;VEN;VGB;VIR;VNM;VUT;WLF;WSM;YEM;ZAF;ZMB;ZWE,Blocked pending underlying provider license/redistribution review; do not parse via OWID mirror alone.
snapshot.release-candidate-2026-07-07.country-context.v0.owid-farmed-fish-killed.1,owid-farmed-fish-killed,blocked_license_unclear,farmed-fish,issue.farmed-fish,249,249,ABW;AFG;AGO;AIA;ALA;ALB;AND;ARE;ARG;ARM;ASM;ATA;ATF;ATG;AUS;AUT;AZE;BDI;BEL;BEN;BES;BFA;BGD;BGR;BHR;BHS;BIH;BLM;BLR;BLZ;BMU;BOL;BRA;BRB;BRN;BTN;BVT;BWA;CAF;CAN;CCK;CHE;CHL;CHN;CIV;CMR;COD;COG;COK;COL;COM;CPV;CRI;CUB;CUW;CXR;CYM;CYP;CZE;DEU;DJI;DMA;DNK;DOM;DZA;ECU;EGY;ERI;ESH;ESP;EST;ETH;FIN;FJI;FLK;FRA;FRO;FSM;GAB;GBR;GEO;GGY;GHA;GIB;GIN;GLP;GMB;GNB;GNQ;GRC;GRD;GRL;GTM;GUF;GUM;GUY;HKG;HMD;HND;HRV;HTI;HUN;IDN;IMN;IND;IOT;IRL;IRN;IRQ;ISL;ISR;ITA;JAM;JEY;JOR;JPN;KAZ;KEN;KGZ;KHM;KIR;KNA;KOR;KWT;LAO;LBN;LBR;LBY;LCA;LIE;LKA;LSO;LTU;LUX;LVA;MAC;MAF;MAR;MCO;MDA;MDG;MDV;MEX;MHL;MKD;MLI;MLT;MMR;MNE;MNG;MNP;MOZ;MRT;MSR;MTQ;MUS;MWI;MYS;MYT;NAM;NCL;NER;NFK;NGA;NIC;NIU;NLD;NOR;NPL;NRU;NZL;OMN;PAK;PAN;PCN;PER;PHL;PLW;PNG;POL;PRI;PRK;PRT;PRY;PSE;PYF;QAT;REU;ROU;RUS;RWA;SAU;SDN;SEN;SGP;SGS;SHN;SJM;SLB;SLE;SLV;SMR;SOM;SPM;SRB;SSD;STP;SUR;SVK;SVN;SWE;SWZ;SXM;SYC;SYR;TCA;TCD;TGO;THA;TJK;TKL;TKM;TLS;TON;TTO;TUN;TUR;TUV;TWN;TZA;UGA;UKR;UMI;URY;USA;UZB;VAT;VCT;VEN;VGB;VIR;VNM;VUT;WLF;WSM;YEM;ZAF;ZMB;ZWE,Blocked pending underlying provider license/redistribution review; do not parse via OWID mirror alone.
snapshot.release-candidate-2026-07-07.country-context.v0.owid-farmed-fish-killed.2,owid-farmed-fish-killed,blocked_license_unclear,farmed-fish,issue.farmed-fish,249,249,ABW;AFG;AGO;AIA;ALA;ALB;AND;ARE;ARG;ARM;ASM;ATA;ATF;ATG;AUS;AUT;AZE;BDI;BEL;BEN;BES;BFA;BGD;BGR;BHR;BHS;BIH;BLM;BLR;BLZ;BMU;BOL;BRA;BRB;BRN;BTN;BVT;BWA;CAF;CAN;CCK;CHE;CHL;CHN;CIV;CMR;COD;COG;COK;COL;COM;CPV;CRI;CUB;CUW;CXR;CYM;CYP;CZE;DEU;DJI;DMA;DNK;DOM;DZA;ECU;EGY;ERI;ESH;ESP;EST;ETH;FIN;FJI;FLK;FRA;FRO;FSM;GAB;GBR;GEO;GGY;GHA;GIB;GIN;GLP;GMB;GNB;GNQ;GRC;GRD;GRL;GTM;GUF;GUM;GUY;HKG;HMD;HND;HRV;HTI;HUN;IDN;IMN;IND;IOT;IRL;IRN;IRQ;ISL;ISR;ITA;JAM;JEY;JOR;JPN;KAZ;KEN;KGZ;KHM;KIR;KNA;KOR;KWT;LAO;LBN;LBR;LBY;LCA;LIE;LKA;LSO;LTU;LUX;LVA;MAC;MAF;MAR;MCO;MDA;MDG;MDV;MEX;MHL;MKD;MLI;MLT;MMR;MNE;MNG;MNP;MOZ;MRT;MSR;MTQ;MUS;MWI;MYS;MYT;NAM;NCL;NER;NFK;NGA;NIC;NIU;NLD;NOR;NPL;NRU;NZL;OMN;PAK;PAN;PCN;PER;PHL;PLW;PNG;POL;PRI;PRK;PRT;PRY;PSE;PYF;QAT;REU;ROU;RUS;RWA;SAU;SDN;SEN;SGP;SGS;SHN;SJM;SLB;SLE;SLV;SMR;SOM;SPM;SRB;SSD;STP;SUR;SVK;SVN;SWE;SWZ;SXM;SYC;SYR;TCA;TCD;TGO;THA;TJK;TKL;TKM;TLS;TON;TTO;TUN;TUR;TUV;TWN;TZA;UGA;UKR;UMI;URY;USA;UZB;VAT;VCT;VEN;VGB;VIR;VNM;VUT;WLF;WSM;YEM;ZAF;ZMB;ZWE,Blocked pending underlying provider license/redistribution review; do not parse via OWID mirror alone.
snapshot.release-candidate-2026-07-07.country-context.v0.owid-wild-caught-fish.1,owid-wild-caught-fish,blocked_license_unclear,wild-caught-fish,issue.wild-caught-fish,249,249,ABW;AFG;AGO;AIA;ALA;ALB;AND;ARE;ARG;ARM;ASM;ATA;ATF;ATG;AUS;AUT;AZE;BDI;BEL;BEN;BES;BFA;BGD;BGR;BHR;BHS;BIH;BLM;BLR;BLZ;BMU;BOL;BRA;BRB;BRN;BTN;BVT;BWA;CAF;CAN;CCK;CHE;CHL;CHN;CIV;CMR;COD;COG;COK;COL;COM;CPV;CRI;CUB;CUW;CXR;CYM;CYP;CZE;DEU;DJI;DMA;DNK;DOM;DZA;ECU;EGY;ERI;ESH;ESP;EST;ETH;FIN;FJI;FLK;FRA;FRO;FSM;GAB;GBR;GEO;GGY;GHA;GIB;GIN;GLP;GMB;GNB;GNQ;GRC;GRD;GRL;GTM;GUF;GUM;GUY;HKG;HMD;HND;HRV;HTI;HUN;IDN;IMN;IND;IOT;IRL;IRN;IRQ;ISL;ISR;ITA;JAM;JEY;JOR;JPN;KAZ;KEN;KGZ;KHM;KIR;KNA;KOR;KWT;LAO;LBN;LBR;LBY;LCA;LIE;LKA;LSO;LTU;LUX;LVA;MAC;MAF;MAR;MCO;MDA;MDG;MDV;MEX;MHL;MKD;MLI;MLT;MMR;MNE;MNG;MNP;MOZ;MRT;MSR;MTQ;MUS;MWI;MYS;MYT;NAM;NCL;NER;NFK;NGA;NIC;NIU;NLD;NOR;NPL;NRU;NZL;OMN;PAK;PAN;PCN;PER;PHL;PLW;PNG;POL;PRI;PRK;PRT;PRY;PSE;PYF;QAT;REU;ROU;RUS;RWA;SAU;SDN;SEN;SGP;SGS;SHN;SJM;SLB;SLE;SLV;SMR;SOM;SPM;SRB;SSD;STP;SUR;SVK;SVN;SWE;SWZ;SXM;SYC;SYR;TCA;TCD;TGO;THA;TJK;TKL;TKM;TLS;TON;TTO;TUN;TUR;TUV;TWN;TZA;UGA;UKR;UMI;URY;USA;UZB;VAT;VCT;VEN;VGB;VIR;VNM;VUT;WLF;WSM;YEM;ZAF;ZMB;ZWE,Blocked pending underlying provider license/redistribution review; do not parse via OWID mirror alone.
snapshot.release-candidate-2026-07-07.country-context.v0.owid-wild-caught-fish.2,owid-wild-caught-fish,blocked_license_unclear,wild-caught-fish,issue.wild-caught-fish,249,249,ABW;AFG;AGO;AIA;ALA;ALB;AND;ARE;ARG;ARM;ASM;ATA;ATF;ATG;AUS;AUT;AZE;BDI;BEL;BEN;BES;BFA;BGD;BGR;BHR;BHS;BIH;BLM;BLR;BLZ;BMU;BOL;BRA;BRB;BRN;BTN;BVT;BWA;CAF;CAN;CCK;CHE;CHL;CHN;CIV;CMR;COD;COG;COK;COL;COM;CPV;CRI;CUB;CUW;CXR;CYM;CYP;CZE;DEU;DJI;DMA;DNK;DOM;DZA;ECU;EGY;ERI;ESH;ESP;EST;ETH;FIN;FJI;FLK;FRA;FRO;FSM;GAB;GBR;GEO;GGY;GHA;GIB;GIN;GLP;GMB;GNB;GNQ;GRC;GRD;GRL;GTM;GUF;GUM;GUY;HKG;HMD;HND;HRV;HTI;HUN;IDN;IMN;IND;IOT;IRL;IRN;IRQ;ISL;ISR;ITA;JAM;JEY;JOR;JPN;KAZ;KEN;KGZ;KHM;KIR;KNA;KOR;KWT;LAO;LBN;LBR;LBY;LCA;LIE;LKA;LSO;LTU;LUX;LVA;MAC;MAF;MAR;MCO;MDA;MDG;MDV;MEX;MHL;MKD;MLI;MLT;MMR;MNE;MNG;MNP;MOZ;MRT;MSR;MTQ;MUS;MWI;MYS;MYT;NAM;NCL;NER;NFK;NGA;NIC;NIU;NLD;NOR;NPL;NRU;NZL;OMN;PAK;PAN;PCN;PER;PHL;PLW;PNG;POL;PRI;PRK;PRT;PRY;PSE;PYF;QAT;REU;ROU;RUS;RWA;SAU;SDN;SEN;SGP;SGS;SHN;SJM;SLB;SLE;SLV;SMR;SOM;SPM;SRB;SSD;STP;SUR;SVK;SVN;SWE;SWZ;SXM;SYC;SYR;TCA;TCD;TGO;THA;TJK;TKL;TKM;TLS;TON;TTO;TUN;TUR;TUV;TWN;TZA;UGA;UKR;UMI;URY;USA;UZB;VAT;VCT;VEN;VGB;VIR;VNM;VUT;WLF;WSM;YEM;ZAF;ZMB;ZWE,Blocked pending underlying provider license/redistribution review; do not parse via OWID mirror alone.
snapshot.release-candidate-2026-07-07.country-context.v0.owid-farmed-crustaceans.1,owid-farmed-crustaceans,blocked_license_unclear,farmed-crustaceans,issue.farmed-crustaceans,249,249,ABW;AFG;AGO;AIA;ALA;ALB;AND;ARE;ARG;ARM;ASM;ATA;ATF;ATG;AUS;AUT;AZE;BDI;BEL;BEN;BES;BFA;BGD;BGR;BHR;BHS;BIH;BLM;BLR;BLZ;BMU;BOL;BRA;BRB;BRN;BTN;BVT;BWA;CAF;CAN;CCK;CHE;CHL;CHN;CIV;CMR;COD;COG;COK;COL;COM;CPV;CRI;CUB;CUW;CXR;CYM;CYP;CZE;DEU;DJI;DMA;DNK;DOM;DZA;ECU;EGY;ERI;ESH;ESP;EST;ETH;FIN;FJI;FLK;FRA;FRO;FSM;GAB;GBR;GEO;GGY;GHA;GIB;GIN;GLP;GMB;GNB;GNQ;GRC;GRD;GRL;GTM;GUF;GUM;GUY;HKG;HMD;HND;HRV;HTI;HUN;IDN;IMN;IND;IOT;IRL;IRN;IRQ;ISL;ISR;ITA;JAM;JEY;JOR;JPN;KAZ;KEN;KGZ;KHM;KIR;KNA;KOR;KWT;LAO;LBN;LBR;LBY;LCA;LIE;LKA;LSO;LTU;LUX;LVA;MAC;MAF;MAR;MCO;MDA;MDG;MDV;MEX;MHL;MKD;MLI;MLT;MMR;MNE;MNG;MNP;MOZ;MRT;MSR;MTQ;MUS;MWI;MYS;MYT;NAM;NCL;NER;NFK;NGA;NIC;NIU;NLD;NOR;NPL;NRU;NZL;OMN;PAK;PAN;PCN;PER;PHL;PLW;PNG;POL;PRI;PRK;PRT;PRY;PSE;PYF;QAT;REU;ROU;RUS;RWA;SAU;SDN;SEN;SGP;SGS;SHN;SJM;SLB;SLE;SLV;SMR;SOM;SPM;SRB;SSD;STP;SUR;SVK;SVN;SWE;SWZ;SXM;SYC;SYR;TCA;TCD;TGO;THA;TJK;TKL;TKM;TLS;TON;TTO;TUN;TUR;TUV;TWN;TZA;UGA;UKR;UMI;URY;USA;UZB;VAT;VCT;VEN;VGB;VIR;VNM;VUT;WLF;WSM;YEM;ZAF;ZMB;ZWE,Blocked pending underlying provider license/redistribution review; do not parse via OWID mirror alone.
