source_snapshot_id,source_id,upstream_url,fetch_status,provider,license_id,license_uri,underlying_provider_if_any,is_third_party_via_owid,can_store_raw_snapshot,can_publish_derived_values,required_attribution,redistribution_note,access_status,parse_status,allowed_use_scope,block_reason,review_evidence,next_action
snapshot.release-candidate-2026-07-07.country-context.v0.world-bank-wdi-api.1,world-bank-wdi-api,https://api.worldbank.org/v2/country/all/indicator/SP.POP.TOTL?format=json&per_page=20000,ok,"World Bank Data / UN Population Division, NSOs, Eurostat, UN Statistics Division",cc-by-4.0-world-bank-wdi,https://creativecommons.org/licenses/by/4.0/,"UN Population Division, NSOs, Eurostat, UN Statistics Division",false,true,true,The World Bank: World Development Indicators: data source as indicated in indicator metadata; include data-provider attribution; do not imply World Bank endorsement.,World Bank indicator pages reviewed for these WDI indicators list License: CC BY-4.0; World Bank summary/legal terms require attribution and no implied endorsement.,ok,parse_eligible,Context-only parsing for country denominators and land-context layers; not pain/suffering measurements; no country promotion without later normalization and promotion gates.,,World Bank Data indicator page for SP.POP.TOTL lists License: CC BY-4.0 and source/provider metadata; World Bank summary terms require attribution to The World Bank and data providers; World Bank legal terms prohibit implying endorsement.,Eligible for context-only parsing after ChatGPT approves exact output schema; update source/license registry terms before production release.
snapshot.release-candidate-2026-07-07.country-context.v0.world-bank-wdi-api.2,world-bank-wdi-api,https://api.worldbank.org/v2/country/all/indicator/AG.LND.TOTL.K2?format=json&per_page=20000,ok,"World Bank Data / FAOSTAT, Food and Agriculture Organization of the United Nations",cc-by-4.0-world-bank-wdi,https://creativecommons.org/licenses/by/4.0/,"FAOSTAT, Food and Agriculture Organization of the United Nations",false,true,true,The World Bank: World Development Indicators: data source as indicated in indicator metadata; include data-provider attribution; do not imply World Bank endorsement.,World Bank indicator pages reviewed for these WDI indicators list License: CC BY-4.0; World Bank summary/legal terms require attribution and no implied endorsement.,ok,parse_eligible,Context-only parsing for country denominators and land-context layers; not pain/suffering measurements; no country promotion without later normalization and promotion gates.,,World Bank Data indicator page for AG.LND.TOTL.K2 lists FAOSTAT/FAO as source and License: CC BY-4.0; World Bank summary terms require attribution to The World Bank and data providers; World Bank legal terms prohibit implying endorsement.,Eligible for context-only parsing after ChatGPT approves exact output schema; update source/license registry terms before production release.
snapshot.release-candidate-2026-07-07.country-context.v0.world-bank-wdi-api.3,world-bank-wdi-api,https://api.worldbank.org/v2/country/all/indicator/AG.LND.AGRI.K2?format=json&per_page=20000,ok,World Bank Data / FAO electronic files and website,cc-by-4.0-world-bank-wdi,https://creativecommons.org/licenses/by/4.0/,FAO electronic files and website,false,true,true,The World Bank: World Development Indicators: data source as indicated in indicator metadata; include data-provider attribution; do not imply World Bank endorsement.,World Bank indicator pages reviewed for these WDI indicators list License: CC BY-4.0; World Bank summary/legal terms require attribution and no implied endorsement.,ok,parse_eligible,Context-only parsing for country denominators and land-context layers; not pain/suffering measurements; no country promotion without later normalization and promotion gates.,,World Bank Data indicator page for AG.LND.AGRI.K2 lists FAO as source and License: CC BY-4.0; World Bank summary terms require attribution to The World Bank and data providers; World Bank legal terms prohibit implying endorsement.,Eligible for context-only parsing after ChatGPT approves exact output schema; update source/license registry terms before production release.
snapshot.release-candidate-2026-07-07.country-context.v0.owid-land-animals-slaughtered.1,owid-land-animals-slaughtered,https://ourworldindata.org/grapher/land-animals-slaughtered-for-meat.csv?csvType=full&useColumnShortNames=false,ok,Our World in Data Grapher mirror,owid-cc-by-with-third-party-terms-review,,Food and Agriculture Organization of the United Nations (2025),true,false,false,"Our World in Data; original providers as listed in metadata | metadata citation: Food and Agriculture Organization of the United Nations (2025) – processed by Our World in Data. “Number of cattle slaughtered to produce meat” [dataset]. Food and Agriculture Organization of the United Nations, “Production: Crops and livestock products” [original data]. || Food and Agriculture Organization of the United Nations (2025) – processed by Our World in Data. “Number of chickens slaughtered to produce meat” [dataset]. Food and Agriculture Organization of the United Nations, “Production: Crops and livestock products” [original data]. || Food and Agriculture Organization of the United Nations (2025) – processed by Our World in Data. “Number of ducks slaughtered to produce meat” [dataset]. Food and Agriculture Organization of the United Nations, “Production: Crops and livestock products” [original data].",OWID guidance says third-party data/material are subject to original-provider license terms; fetched candidate registry has no license URI or redistribution permission for the underlying provider.,ok,blocked_license_unclear,"Metadata/provenance review only; no numeric parsing or derived publication until underlying provider license, redistribution, and storage terms are recorded.","OWID metadata cites third-party/original providers, but candidate registry does not record underlying provider license URI, redistribution terms, and storage permission","Fetched OWID metadata citation(s): Food and Agriculture Organization of the United Nations (2025) – processed by Our World in Data. “Number of cattle slaughtered to produce meat” [dataset]. Food and Agriculture Organization of the United Nations, “Production: Crops and livestock products” [original data]. || Food and Agriculture Organization of the United Nations (2025) – processed by Our World in Data. “Number of chickens slaughtered to produce meat” [dataset]. Food and Agriculture Organization of the United Nations, “Production: Crops and livestock products” [original data]. || Food and Agriculture Organization of the United Nations (2025) – processed by Our World in Data. “Number of ducks slaughtered to produce meat” [dataset]. Food and Agriculture Organization of the United Nations, “Production: Crops and livestock products” [original data]. || Food and Agriculture Organization of the United Nations (2025) – processed by Our World in Data. “Number of geese slaughtered to produce meat” [dataset]. Food and Agriculture Organization of the United Nations, “Production: Crops and livestock products” [original data]. || Food and Agriculture Organization of the United Nations (2025) – processed by Our World in Data. “Number of goats slaughtered to produce meat” [dataset]. Food and Agriculture Organization of the United Nations, “Production: Crops and livestock products” [original data].; OWID FAQ reviewed for third-party license rule.",Review and record underlying provider license/terms and attribution before parsing; do not treat OWID mirror URL alone as approval.
snapshot.release-candidate-2026-07-07.country-context.v0.owid-land-animals-slaughtered.2,owid-land-animals-slaughtered,https://ourworldindata.org/grapher/land-animals-slaughtered-for-meat.metadata.json?csvType=full&useColumnShortNames=false,ok,Our World in Data Grapher mirror,owid-cc-by-with-third-party-terms-review,,Food and Agriculture Organization of the United Nations (2025),true,false,false,"Our World in Data; original providers as listed in metadata | metadata citation: Food and Agriculture Organization of the United Nations (2025) – processed by Our World in Data. “Number of cattle slaughtered to produce meat” [dataset]. Food and Agriculture Organization of the United Nations, “Production: Crops and livestock products” [original data]. || Food and Agriculture Organization of the United Nations (2025) – processed by Our World in Data. “Number of chickens slaughtered to produce meat” [dataset]. Food and Agriculture Organization of the United Nations, “Production: Crops and livestock products” [original data]. || Food and Agriculture Organization of the United Nations (2025) – processed by Our World in Data. “Number of ducks slaughtered to produce meat” [dataset]. Food and Agriculture Organization of the United Nations, “Production: Crops and livestock products” [original data].",OWID guidance says third-party data/material are subject to original-provider license terms; fetched candidate registry has no license URI or redistribution permission for the underlying provider.,ok,blocked_license_unclear,"Metadata/provenance review only; no numeric parsing or derived publication until underlying provider license, redistribution, and storage terms are recorded.","OWID metadata cites third-party/original providers, but candidate registry does not record underlying provider license URI, redistribution terms, and storage permission","Fetched OWID metadata citation(s): Food and Agriculture Organization of the United Nations (2025) – processed by Our World in Data. “Number of cattle slaughtered to produce meat” [dataset]. Food and Agriculture Organization of the United Nations, “Production: Crops and livestock products” [original data]. || Food and Agriculture Organization of the United Nations (2025) – processed by Our World in Data. “Number of chickens slaughtered to produce meat” [dataset]. Food and Agriculture Organization of the United Nations, “Production: Crops and livestock products” [original data]. || Food and Agriculture Organization of the United Nations (2025) – processed by Our World in Data. “Number of ducks slaughtered to produce meat” [dataset]. Food and Agriculture Organization of the United Nations, “Production: Crops and livestock products” [original data]. || Food and Agriculture Organization of the United Nations (2025) – processed by Our World in Data. “Number of geese slaughtered to produce meat” [dataset]. Food and Agriculture Organization of the United Nations, “Production: Crops and livestock products” [original data]. || Food and Agriculture Organization of the United Nations (2025) – processed by Our World in Data. “Number of goats slaughtered to produce meat” [dataset]. Food and Agriculture Organization of the United Nations, “Production: Crops and livestock products” [original data].; OWID FAQ reviewed for third-party license rule.",Review and record underlying provider license/terms and attribution before parsing; do not treat OWID mirror URL alone as approval.
snapshot.release-candidate-2026-07-07.country-context.v0.owid-farmed-fish-killed.1,owid-farmed-fish-killed,https://ourworldindata.org/grapher/farmed-fish-killed.csv?csvType=full&useColumnShortNames=false,ok,Our World in Data Grapher mirror,owid-cc-by-with-third-party-terms-review,,Fishcount (2024),true,false,false,"Our World in Data; original providers as listed in metadata | metadata citation: Fishcount (2024) – with minor processing by Our World in Data. “Estimated number of farmed fish (lower bound)” [dataset]. Mood et al., “Number of farmed fish killed for food worldwide”; Fishcount, “Estimated farmed finfish numbers” [original data]. || Fishcount (2024) – with minor processing by Our World in Data. “Estimated number of farmed fish (upper bound)” [dataset]. Mood et al., “Number of farmed fish killed for food worldwide”; Fishcount, “Estimated farmed finfish numbers” [original data]. || Fishcount (2024) – with minor processing by Our World in Data. “Estimated number of farmed fish” [dataset]. Mood et al., “Number of farmed fish killed for food worldwide”; Fishcount, “Estimated farmed finfish numbers” [original data].",OWID guidance says third-party data/material are subject to original-provider license terms; fetched candidate registry has no license URI or redistribution permission for the underlying provider.,ok,blocked_license_unclear,"Metadata/provenance review only; no numeric parsing or derived publication until underlying provider license, redistribution, and storage terms are recorded.","OWID metadata cites third-party/original providers, but candidate registry does not record underlying provider license URI, redistribution terms, and storage permission","Fetched OWID metadata citation(s): Fishcount (2024) – with minor processing by Our World in Data. “Estimated number of farmed fish (lower bound)” [dataset]. Mood et al., “Number of farmed fish killed for food worldwide”; Fishcount, “Estimated farmed finfish numbers” [original data]. || Fishcount (2024) – with minor processing by Our World in Data. “Estimated number of farmed fish (upper bound)” [dataset]. Mood et al., “Number of farmed fish killed for food worldwide”; Fishcount, “Estimated farmed finfish numbers” [original data]. || Fishcount (2024) – with minor processing by Our World in Data. “Estimated number of farmed fish” [dataset]. Mood et al., “Number of farmed fish killed for food worldwide”; Fishcount, “Estimated farmed finfish numbers” [original data].; OWID FAQ reviewed for third-party license rule.",Review and record underlying provider license/terms and attribution before parsing; do not treat OWID mirror URL alone as approval.
snapshot.release-candidate-2026-07-07.country-context.v0.owid-farmed-fish-killed.2,owid-farmed-fish-killed,https://ourworldindata.org/grapher/farmed-fish-killed.metadata.json?csvType=full&useColumnShortNames=false,ok,Our World in Data Grapher mirror,owid-cc-by-with-third-party-terms-review,,Fishcount (2024),true,false,false,"Our World in Data; original providers as listed in metadata | metadata citation: Fishcount (2024) – with minor processing by Our World in Data. “Estimated number of farmed fish (lower bound)” [dataset]. Mood et al., “Number of farmed fish killed for food worldwide”; Fishcount, “Estimated farmed finfish numbers” [original data]. || Fishcount (2024) – with minor processing by Our World in Data. “Estimated number of farmed fish (upper bound)” [dataset]. Mood et al., “Number of farmed fish killed for food worldwide”; Fishcount, “Estimated farmed finfish numbers” [original data]. || Fishcount (2024) – with minor processing by Our World in Data. “Estimated number of farmed fish” [dataset]. Mood et al., “Number of farmed fish killed for food worldwide”; Fishcount, “Estimated farmed finfish numbers” [original data].",OWID guidance says third-party data/material are subject to original-provider license terms; fetched candidate registry has no license URI or redistribution permission for the underlying provider.,ok,blocked_license_unclear,"Metadata/provenance review only; no numeric parsing or derived publication until underlying provider license, redistribution, and storage terms are recorded.","OWID metadata cites third-party/original providers, but candidate registry does not record underlying provider license URI, redistribution terms, and storage permission","Fetched OWID metadata citation(s): Fishcount (2024) – with minor processing by Our World in Data. “Estimated number of farmed fish (lower bound)” [dataset]. Mood et al., “Number of farmed fish killed for food worldwide”; Fishcount, “Estimated farmed finfish numbers” [original data]. || Fishcount (2024) – with minor processing by Our World in Data. “Estimated number of farmed fish (upper bound)” [dataset]. Mood et al., “Number of farmed fish killed for food worldwide”; Fishcount, “Estimated farmed finfish numbers” [original data]. || Fishcount (2024) – with minor processing by Our World in Data. “Estimated number of farmed fish” [dataset]. Mood et al., “Number of farmed fish killed for food worldwide”; Fishcount, “Estimated farmed finfish numbers” [original data].; OWID FAQ reviewed for third-party license rule.",Review and record underlying provider license/terms and attribution before parsing; do not treat OWID mirror URL alone as approval.
snapshot.release-candidate-2026-07-07.country-context.v0.owid-wild-caught-fish.1,owid-wild-caught-fish,https://ourworldindata.org/grapher/wild-caught-fish.csv?csvType=full&useColumnShortNames=false,ok,Our World in Data Grapher mirror,owid-cc-by-with-third-party-terms-review,,Mood and Brooke (2024),true,false,false,"Our World in Data; original providers as listed in metadata | metadata citation: Mood and Brooke (2024) – processed by Our World in Data. “Estimated number of wild-caught fish (lower bound)” [dataset]. Mood and Brooke, “Number of individual wild fish killed for food” [original data]. || Mood and Brooke (2024) – processed by Our World in Data. “Estimated number of wild-caught fish (upper bound)” [dataset]. Mood and Brooke, “Number of individual wild fish killed for food” [original data]. || Mood and Brooke (2024) – processed by Our World in Data. “Estimated number of wild-caught fish” [dataset]. Mood and Brooke, “Number of individual wild fish killed for food” [original data].",OWID guidance says third-party data/material are subject to original-provider license terms; fetched candidate registry has no license URI or redistribution permission for the underlying provider.,ok,blocked_license_unclear,"Metadata/provenance review only; no numeric parsing or derived publication until underlying provider license, redistribution, and storage terms are recorded.","OWID metadata cites third-party/original providers, but candidate registry does not record underlying provider license URI, redistribution terms, and storage permission","Fetched OWID metadata citation(s): Mood and Brooke (2024) – processed by Our World in Data. “Estimated number of wild-caught fish (lower bound)” [dataset]. Mood and Brooke, “Number of individual wild fish killed for food” [original data]. || Mood and Brooke (2024) – processed by Our World in Data. “Estimated number of wild-caught fish (upper bound)” [dataset]. Mood and Brooke, “Number of individual wild fish killed for food” [original data]. || Mood and Brooke (2024) – processed by Our World in Data. “Estimated number of wild-caught fish” [dataset]. Mood and Brooke, “Number of individual wild fish killed for food” [original data].; OWID FAQ reviewed for third-party license rule.",Review and record underlying provider license/terms and attribution before parsing; do not treat OWID mirror URL alone as approval.
snapshot.release-candidate-2026-07-07.country-context.v0.owid-wild-caught-fish.2,owid-wild-caught-fish,https://ourworldindata.org/grapher/wild-caught-fish.metadata.json?csvType=full&useColumnShortNames=false,ok,Our World in Data Grapher mirror,owid-cc-by-with-third-party-terms-review,,Mood and Brooke (2024),true,false,false,"Our World in Data; original providers as listed in metadata | metadata citation: Mood and Brooke (2024) – processed by Our World in Data. “Estimated number of wild-caught fish (lower bound)” [dataset]. Mood and Brooke, “Number of individual wild fish killed for food” [original data]. || Mood and Brooke (2024) – processed by Our World in Data. “Estimated number of wild-caught fish (upper bound)” [dataset]. Mood and Brooke, “Number of individual wild fish killed for food” [original data]. || Mood and Brooke (2024) – processed by Our World in Data. “Estimated number of wild-caught fish” [dataset]. Mood and Brooke, “Number of individual wild fish killed for food” [original data].",OWID guidance says third-party data/material are subject to original-provider license terms; fetched candidate registry has no license URI or redistribution permission for the underlying provider.,ok,blocked_license_unclear,"Metadata/provenance review only; no numeric parsing or derived publication until underlying provider license, redistribution, and storage terms are recorded.","OWID metadata cites third-party/original providers, but candidate registry does not record underlying provider license URI, redistribution terms, and storage permission","Fetched OWID metadata citation(s): Mood and Brooke (2024) – processed by Our World in Data. “Estimated number of wild-caught fish (lower bound)” [dataset]. Mood and Brooke, “Number of individual wild fish killed for food” [original data]. || Mood and Brooke (2024) – processed by Our World in Data. “Estimated number of wild-caught fish (upper bound)” [dataset]. Mood and Brooke, “Number of individual wild fish killed for food” [original data]. || Mood and Brooke (2024) – processed by Our World in Data. “Estimated number of wild-caught fish” [dataset]. Mood and Brooke, “Number of individual wild fish killed for food” [original data].; OWID FAQ reviewed for third-party license rule.",Review and record underlying provider license/terms and attribution before parsing; do not treat OWID mirror URL alone as approval.
snapshot.release-candidate-2026-07-07.country-context.v0.owid-farmed-crustaceans.1,owid-farmed-crustaceans,https://ourworldindata.org/grapher/farmed-crustaceans.csv?csvType=full&useColumnShortNames=false,ok,Our World in Data Grapher mirror,owid-cc-by-with-third-party-terms-review,,Fishcount (2024),true,false,false,"Our World in Data; original providers as listed in metadata | metadata citation: Fishcount (2024) – processed by Our World in Data. “Lower bound” [dataset]. Fishcount, “Number of individual farmed crustaceans” [original data]. || Fishcount (2024) – processed by Our World in Data. “Mid-point estimate” [dataset]. Fishcount, “Number of individual farmed crustaceans” [original data]. || Fishcount (2024) – processed by Our World in Data. “Upper bound” [dataset]. Fishcount, “Number of individual farmed crustaceans” [original data].",OWID guidance says third-party data/material are subject to original-provider license terms; fetched candidate registry has no license URI or redistribution permission for the underlying provider.,ok,blocked_license_unclear,"Metadata/provenance review only; no numeric parsing or derived publication until underlying provider license, redistribution, and storage terms are recorded.","OWID metadata cites third-party/original providers, but candidate registry does not record underlying provider license URI, redistribution terms, and storage permission","Fetched OWID metadata citation(s): Fishcount (2024) – processed by Our World in Data. “Lower bound” [dataset]. Fishcount, “Number of individual farmed crustaceans” [original data]. || Fishcount (2024) – processed by Our World in Data. “Mid-point estimate” [dataset]. Fishcount, “Number of individual farmed crustaceans” [original data]. || Fishcount (2024) – processed by Our World in Data. “Upper bound” [dataset]. Fishcount, “Number of individual farmed crustaceans” [original data].; OWID FAQ reviewed for third-party license rule.",Review and record underlying provider license/terms and attribution before parsing; do not treat OWID mirror URL alone as approval.
