observation_id,place_id,iso3,place_name,indicator_id,indicator_code,indicator_name,domain,raw_value,unit_label,reference_year,global_rank_within_indicator,indicator_country_count,adverse_percentile_within_indicator,comparison_direction,source_id,source_snapshot_id,source_vintage,extraction_timestamp,license_id,data_license_uri,evidence_kind,uncertainty_class,pain_relevance,caveat
painmap-human-health-pressure-context-v1:PAK:diabetes-prevalence:2024,PAK,PAK,Pakistan,diabetes-prevalence,SH.STA.DIAB.ZS,Diabetes prevalence (% of population ages 20 to 79),chronic-metabolic-disease,31.4,percent of population ages 20–79,2024,1,208,100.0,higher_value_more_adverse_context,world-bank-health-pressure-context,snapshot.world-bank-health-pressure.sh.sta.diab.zs.2026-07-31,"Diabetes Atlas, International Diabetes Federation; observation year 2024; retrieved 2026-07-31",2026-07-31T06:16:43Z,world-bank-terms,https://www.worldbank.org/en/about/legal/terms-of-use-for-datasets,proxy,low,"Diabetes can cause painful neuropathy and vascular complications. Prevalence is a disease-context proxy, not a measure of pain prevalence or severity.","Proxy/context indicator only. It does not directly measure pain intensity, duration, prevalence, disability, or total suffering."
painmap-human-health-pressure-context-v1:MHL:diabetes-prevalence:2024,MHL,MHL,Marshall Islands,diabetes-prevalence,SH.STA.DIAB.ZS,Diabetes prevalence (% of population ages 20 to 79),chronic-metabolic-disease,25.7,percent of population ages 20–79,2024,2,208,99.52,higher_value_more_adverse_context,world-bank-health-pressure-context,snapshot.world-bank-health-pressure.sh.sta.diab.zs.2026-07-31,"Diabetes Atlas, International Diabetes Federation; observation year 2024; retrieved 2026-07-31",2026-07-31T06:16:43Z,world-bank-terms,https://www.worldbank.org/en/about/legal/terms-of-use-for-datasets,proxy,low,"Diabetes can cause painful neuropathy and vascular complications. Prevalence is a disease-context proxy, not a measure of pain prevalence or severity.","Proxy/context indicator only. It does not directly measure pain intensity, duration, prevalence, disability, or total suffering."
painmap-human-health-pressure-context-v1:KWT:diabetes-prevalence:2024,KWT,KWT,Kuwait,diabetes-prevalence,SH.STA.DIAB.ZS,Diabetes prevalence (% of population ages 20 to 79),chronic-metabolic-disease,25.6,percent of population ages 20–79,2024,3,208,99.03,higher_value_more_adverse_context,world-bank-health-pressure-context,snapshot.world-bank-health-pressure.sh.sta.diab.zs.2026-07-31,"Diabetes Atlas, International Diabetes Federation; observation year 2024; retrieved 2026-07-31",2026-07-31T06:16:43Z,world-bank-terms,https://www.worldbank.org/en/about/legal/terms-of-use-for-datasets,proxy,low,"Diabetes can cause painful neuropathy and vascular complications. Prevalence is a disease-context proxy, not a measure of pain prevalence or severity.","Proxy/context indicator only. It does not directly measure pain intensity, duration, prevalence, disability, or total suffering."
painmap-human-health-pressure-context-v1:WSM:diabetes-prevalence:2024,WSM,WSM,Samoa,diabetes-prevalence,SH.STA.DIAB.ZS,Diabetes prevalence (% of population ages 20 to 79),chronic-metabolic-disease,25.4,percent of population ages 20–79,2024,4,208,98.55,higher_value_more_adverse_context,world-bank-health-pressure-context,snapshot.world-bank-health-pressure.sh.sta.diab.zs.2026-07-31,"Diabetes Atlas, International Diabetes Federation; observation year 2024; retrieved 2026-07-31",2026-07-31T06:16:43Z,world-bank-terms,https://www.worldbank.org/en/about/legal/terms-of-use-for-datasets,proxy,low,"Diabetes can cause painful neuropathy and vascular complications. Prevalence is a disease-context proxy, not a measure of pain prevalence or severity.","Proxy/context indicator only. It does not directly measure pain intensity, duration, prevalence, disability, or total suffering."
painmap-human-health-pressure-context-v1:KIR:diabetes-prevalence:2024,KIR,KIR,Kiribati,diabetes-prevalence,SH.STA.DIAB.ZS,Diabetes prevalence (% of population ages 20 to 79),chronic-metabolic-disease,24.6,percent of population ages 20–79,2024,5,208,98.07,higher_value_more_adverse_context,world-bank-health-pressure-context,snapshot.world-bank-health-pressure.sh.sta.diab.zs.2026-07-31,"Diabetes Atlas, International Diabetes Federation; observation year 2024; retrieved 2026-07-31",2026-07-31T06:16:43Z,world-bank-terms,https://www.worldbank.org/en/about/legal/terms-of-use-for-datasets,proxy,low,"Diabetes can cause painful neuropathy and vascular complications. Prevalence is a disease-context proxy, not a measure of pain prevalence or severity.","Proxy/context indicator only. It does not directly measure pain intensity, duration, prevalence, disability, or total suffering."
painmap-human-health-pressure-context-v1:QAT:diabetes-prevalence:2024,QAT,QAT,Qatar,diabetes-prevalence,SH.STA.DIAB.ZS,Diabetes prevalence (% of population ages 20 to 79),chronic-metabolic-disease,24.6,percent of population ages 20–79,2024,5,208,98.07,higher_value_more_adverse_context,world-bank-health-pressure-context,snapshot.world-bank-health-pressure.sh.sta.diab.zs.2026-07-31,"Diabetes Atlas, International Diabetes Federation; observation year 2024; retrieved 2026-07-31",2026-07-31T06:16:43Z,world-bank-terms,https://www.worldbank.org/en/about/legal/terms-of-use-for-datasets,proxy,low,"Diabetes can cause painful neuropathy and vascular complications. Prevalence is a disease-context proxy, not a measure of pain prevalence or severity.","Proxy/context indicator only. It does not directly measure pain intensity, duration, prevalence, disability, or total suffering."
painmap-human-health-pressure-context-v1:SAU:diabetes-prevalence:2024,SAU,SAU,Saudi Arabia,diabetes-prevalence,SH.STA.DIAB.ZS,Diabetes prevalence (% of population ages 20 to 79),chronic-metabolic-disease,23.1,percent of population ages 20–79,2024,7,208,97.1,higher_value_more_adverse_context,world-bank-health-pressure-context,snapshot.world-bank-health-pressure.sh.sta.diab.zs.2026-07-31,"Diabetes Atlas, International Diabetes Federation; observation year 2024; retrieved 2026-07-31",2026-07-31T06:16:43Z,world-bank-terms,https://www.worldbank.org/en/about/legal/terms-of-use-for-datasets,proxy,low,"Diabetes can cause painful neuropathy and vascular complications. Prevalence is a disease-context proxy, not a measure of pain prevalence or severity.","Proxy/context indicator only. It does not directly measure pain intensity, duration, prevalence, disability, or total suffering."
painmap-human-health-pressure-context-v1:PYF:diabetes-prevalence:2024,PYF,PYF,French Polynesia,diabetes-prevalence,SH.STA.DIAB.ZS,Diabetes prevalence (% of population ages 20 to 79),chronic-metabolic-disease,22.8,percent of population ages 20–79,2024,8,208,96.62,higher_value_more_adverse_context,world-bank-health-pressure-context,snapshot.world-bank-health-pressure.sh.sta.diab.zs.2026-07-31,"Diabetes Atlas, International Diabetes Federation; observation year 2024; retrieved 2026-07-31",2026-07-31T06:16:43Z,world-bank-terms,https://www.worldbank.org/en/about/legal/terms-of-use-for-datasets,proxy,low,"Diabetes can cause painful neuropathy and vascular complications. Prevalence is a disease-context proxy, not a measure of pain prevalence or severity.","Proxy/context indicator only. It does not directly measure pain intensity, duration, prevalence, disability, or total suffering."
painmap-human-health-pressure-context-v1:EGY:diabetes-prevalence:2024,EGY,EGY,Egypt,diabetes-prevalence,SH.STA.DIAB.ZS,Diabetes prevalence (% of population ages 20 to 79),chronic-metabolic-disease,22.4,percent of population ages 20–79,2024,9,208,96.14,higher_value_more_adverse_context,world-bank-health-pressure-context,snapshot.world-bank-health-pressure.sh.sta.diab.zs.2026-07-31,"Diabetes Atlas, International Diabetes Federation; observation year 2024; retrieved 2026-07-31",2026-07-31T06:16:43Z,world-bank-terms,https://www.worldbank.org/en/about/legal/terms-of-use-for-datasets,proxy,low,"Diabetes can cause painful neuropathy and vascular complications. Prevalence is a disease-context proxy, not a measure of pain prevalence or severity.","Proxy/context indicator only. It does not directly measure pain intensity, duration, prevalence, disability, or total suffering."
painmap-human-health-pressure-context-v1:BHR:diabetes-prevalence:2024,BHR,BHR,Bahrain,diabetes-prevalence,SH.STA.DIAB.ZS,Diabetes prevalence (% of population ages 20 to 79),chronic-metabolic-disease,22.1,percent of population ages 20–79,2024,10,208,95.65,higher_value_more_adverse_context,world-bank-health-pressure-context,snapshot.world-bank-health-pressure.sh.sta.diab.zs.2026-07-31,"Diabetes Atlas, International Diabetes Federation; observation year 2024; retrieved 2026-07-31",2026-07-31T06:16:43Z,world-bank-terms,https://www.worldbank.org/en/about/legal/terms-of-use-for-datasets,proxy,low,"Diabetes can cause painful neuropathy and vascular complications. Prevalence is a disease-context proxy, not a measure of pain prevalence or severity.","Proxy/context indicator only. It does not directly measure pain intensity, duration, prevalence, disability, or total suffering."
